model_name,model_path,evaluation_date,eval_start_date,eval_end_date,total_steps,total_reward,final_portfolio_value,total_return_pct,sharpe_ratio,max_drawdown,volatility,avg_reward_per_step,deterministic,date,portfolio_value,total_return
checkpoint_50000_steps,models/PPO-1756197233/checkpoint_50000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,199.57485433643458,995697.7546764233,-0.4302245323576732,-0.5678147731956729,0,0,4.434996763031879,True,2025-06-06,995697.7546764233,-0.4302245323576732
checkpoint_100000_steps,models/PPO-1756216174/checkpoint_100000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,154.10840233915204,968963.3557730928,-3.103664422690717,-2.587203818246796,0,0,3.4246311630922674,True,2025-06-06,968963.3557730928,-3.103664422690717
checkpoint_150000_steps,models/PPO-1756216174/checkpoint_150000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,132.41503931852125,970990.3634381683,-2.900963656183169,-2.2533024625496143,0,0,2.9425564293004722,True,2025-06-06,970990.3634381683,-2.900963656183169
checkpoint_200000_steps,models/PPO-1756216174/checkpoint_200000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,186.46412838333129,979902.410247158,-2.0097589752841976,-1.5535804006643115,0,0,4.1436472974073615,True,2025-06-06,979902.410247158,-2.0097589752841976
checkpoint_250000_steps,models/PPO-1756216174/checkpoint_250000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,119.46822261369125,971952.9587550214,-2.804704124497855,-2.4880986741492976,0,0,2.654849391415361,True,2025-06-06,971952.9587550214,-2.804704124497855
checkpoint_300000_steps,models/PPO-1756216174/checkpoint_300000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,90.94807035896099,951633.0525432181,-4.836694745678187,-3.736061507815025,0,0,2.021068230199133,True,2025-06-06,951633.0525432181,-4.836694745678187
checkpoint_350000_steps,models/PPO-1756270453/checkpoint_350000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,116.21713395627884,961504.6617463903,-3.849533825360972,-2.910286070195378,0,0,2.5826029768061964,True,2025-06-06,961504.6617463903,-3.849533825360972
checkpoint_400000_steps,models/PPO-1756270453/checkpoint_400000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,158.18528142049053,971022.8299797291,-2.897717002027086,-2.195562853482986,0,0,3.5152284760109005,True,2025-06-06,971022.8299797291,-2.897717002027086
checkpoint_450000_steps,models/PPO-1756270453/checkpoint_450000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,164.18928603727022,969755.8989306554,-3.0244101069344556,-2.0945619973369762,0,0,3.6486508008282272,True,2025-06-06,969755.8989306554,-3.0244101069344556
checkpoint_500000_steps,models/PPO-1756270453/checkpoint_500000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,130.25153348375204,964798.5063076916,-3.520149369230843,-2.3240059065191883,0,0,2.8944785218611564,True,2025-06-06,964798.5063076916,-3.520149369230843
checkpoint_550000_steps,models/PPO-1756270453/checkpoint_550000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,177.4371991816178,980104.481723288,-1.9895518276712043,-1.4689854369689257,0,0,3.943048870702618,True,2025-06-06,980104.481723288,-1.9895518276712043
checkpoint_600000_steps,models/PPO-1756270453/checkpoint_600000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,163.12376429402028,975834.7559427513,-2.4165244057248696,-1.5910572674655408,0,0,3.6249725398671173,True,2025-06-06,975834.7559427513,-2.4165244057248696
checkpoint_650000_steps,models/PPO-1756270453/checkpoint_650000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,168.57295054097602,972153.6008067996,-2.78463991932004,-1.8106849218340078,0,0,3.746065567577245,True,2025-06-06,972153.6008067996,-2.78463991932004
checkpoint_700000_steps,models/PPO-1756270453/checkpoint_700000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,187.39065960169754,971012.1117928448,-2.8987888207155166,-1.9486930148252926,0,0,4.164236880037723,True,2025-06-06,971012.1117928448,-2.8987888207155166
checkpoint_750000_steps,models/PPO-1756270453/checkpoint_750000_steps.zip,20250829_144400,2025-03-07,2025-06-06,45,169.30689023118182,966682.8152376952,-3.331718476230477,-2.1243649637205393,0,0,3.762375338470707,True,2025-06-06,966682.8152376952,-3.331718476230477
