displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,550.29,,,2023,Annual
Cash Equivalents ,CashEquivalents,570.82,,,2023,Annual
Short Term Investments ,ShortTermInvestments,5128.05,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,6249.16,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4616.04,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,6102.25,,,2023,Annual
Total Inventory ,TotalInventory,451.97,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,157.91,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,4635.10,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,17596.39,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,72052.60,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-13067.79,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,58984.81,,,2023,Annual
Goodwill Net ,GoodwillNet,6907.47,,,2023,Annual
Intangibles Net ,IntangiblesNet,11665.99,,,2023,Annual
Long Term Investments ,LongTermInvestments,6255.47,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,8675.05,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,4677.91,,,2023,Annual
Total Assets ,TotalAssets,114763.09,,,2023,Annual
Accounts Payable ,AccountsPayable,3452.38,,,2023,Annual
Accrued Expenses ,AccruedExpenses,766.03,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1977.69,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,2085.77,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,4248.25,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,12530.12,,,2023,Annual
Long Term Debt ,LongTermDebt,46516.94,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,2687.29,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,49204.23,,,2023,Annual
Total Debt ,TotalDebt,53267.69,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,3424.58,,,2023,Annual
Minority Interest ,MinorityInterest,1361.06,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2687.18,,,2023,Annual
Total Liabilities ,TotalLiabilities,69207.17,,,2023,Annual
Redeemable Preferred Stock Total ,RedeemablePreferredStockTotal,166.53,,,2023,Annual
Common Stock Total ,CommonStockTotal,432.03,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,9747.36,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),35650.48,,,2023,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),285.83,,,2023,Annual
Other Equity Total ,OtherEquityTotal,-726.31,,,2023,Annual
Total Equity ,TotalEquity,45555.92,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,114763.09,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,216.01,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,124.14,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
