displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,7631.88,,,2024,Interim
Short Term Investments ,ShortTermInvestments,4102.87,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,11734.75,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,3666.94,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,3935.95,,,2024,Interim
Total Inventory ,TotalInventory,437.51,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,1364.15,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,17472.36,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,66549.03,,,2024,Interim
Goodwill Net ,GoodwillNet,6906.93,,,2024,Interim
Intangibles Net ,IntangiblesNet,11282.64,,,2024,Interim
Long Term Investments ,LongTermInvestments,9663.35,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,59.52,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,6984.04,,,2024,Interim
Total Assets ,TotalAssets,118917.87,,,2024,Interim
Accounts Payable ,AccountsPayable,2167.36,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,8687.50,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,5608.08,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,16462.94,,,2024,Interim
Long Term Debt ,LongTermDebt,37662.93,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,2953.28,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,40616.21,,,2024,Interim
Total Debt ,TotalDebt,49303.71,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,4169.87,,,2024,Interim
Minority Interest ,MinorityInterest,1598.23,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,3125.85,,,2024,Interim
Total Liabilities ,TotalLiabilities,65973.10,,,2024,Interim
Common Stock Total ,CommonStockTotal,432.03,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),52512.74,,,2024,Interim
Total Equity ,TotalEquity,52944.77,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,118917.87,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,216.01,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,160.89,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
