displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,6292.01,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,2107.34,,,2021,Annual
Non- Cash Items ,Non-CashItems,-379.13,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-385.89,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,7634.33,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-2351.70,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-11790.97,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-14142.67,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-1958.67,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-0.23,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,0.00,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,5472.75,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,3513.85,,,2021,Annual
Net Changein Cash ,NetChangeinCash,-2994.49,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,1937.73,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,872.83,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
