displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,5486.89,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,3424.71,,,2023,Annual
Non- Cash Items ,Non-CashItems,4709.43,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,1122.62,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,14743.65,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-9141.04,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-10419.04,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-19560.08,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-2878.73,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1092.91,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,945.50,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,292.34,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-2733.80,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-7550.23,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,2371.00,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,847.40,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
