displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,11873.07,,,2020,Annual
Total Revenue ,TotalRevenue,11873.07,,,2020,Annual
Costof Revenue Total ,CostofRevenueTotal,3019.72,,,2020,Annual
Gross Profit ,GrossProfit,8853.35,,,2020,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,1220.32,,,2020,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1680.28,,,2020,Annual
Unusual Expense( Income) ,UnusualExpense(Income),58.79,,,2020,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,54.99,,,2020,Annual
Total Operating Expense ,TotalOperatingExpense,6034.10,,,2020,Annual
Operating Income ,OperatingIncome,5838.97,,,2020,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-1637.36,,,2020,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-12.49,,,2020,Annual
Other Net ,OtherNet,54.80,,,2020,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,4243.92,,,2020,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,459.39,,,2020,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,3784.53,,,2020,Annual
Minority Interest ,MinorityInterest,-21.40,,,2020,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3763.13,,,2020,Annual
Net Income ,NetIncome,3763.13,,,2020,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3763.13,,,2020,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3763.13,,,2020,Annual
Diluted Net Income ,DilutedNetIncome,3763.13,,,2020,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,205.12,,,2020,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,18.35,,,2020,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,3.20,,,2020,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,18.66,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
