displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,130296.20
Revenue - trailing 12 month,revenueTrailing12Month),304753.30
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,110923.10
EBITD - trailing 12 month,eBITDTrailing12Month,184213.70
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,110923.10
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,49.92
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,304753.30
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,107921.60
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,130296.20
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,126760.60
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,184299.80
