Date,200 DMA
2024-06-06,3001.75
2024-06-07,3001.01
2024-06-10,3000.38
2024-06-11,2999.4
2024-06-12,2998.47
2024-06-13,2997.59
2024-06-14,2996.84
2024-06-18,2996.06
2024-06-19,2995.02
2024-06-20,2994.23
2024-06-21,2993.2
2024-06-24,2992.23
2024-06-25,2990.9
2024-06-26,2989.63
2024-06-27,2988.55
2024-06-28,2987.84
2024-07-01,2987.24
2024-07-02,2986.63
2024-07-03,2986.02
2024-07-04,2985.51
2024-07-05,2985.02
2024-07-08,2984.15
2024-07-09,2983.36
2024-07-10,2983.5
2024-07-11,2983.88
2024-07-12,2984.03
2024-07-15,2983.76
2024-07-16,2983.66
2024-07-18,2983.15
2024-07-19,2982.78
2024-07-22,2982.29
2024-07-23,2981.45
2024-07-24,2980.76
2024-07-25,2979.97
2024-07-26,2979.68
2024-07-29,2979.43
2024-07-30,2979.68
2024-07-31,2980.73
2024-08-01,2981.91
2024-08-02,2983.15
2024-08-05,2984.24
2024-08-06,2985.41
2024-08-07,2986.57
2024-08-08,2986.76
2024-08-09,2987.29
2024-08-12,2987.95
2024-08-13,2988.3
2024-08-14,2988.68
2024-08-16,2989.27
2024-08-19,2990.13
2024-08-20,2991.26
2024-08-21,2992.85
2024-08-22,2994.78
2024-08-23,2996.37
2024-08-26,2998.11
2024-08-27,2999.79
2024-08-28,3001.04
2024-08-29,3002.18
2024-08-30,3003.42
2024-09-02,3004.89
2024-09-03,3006.38
2024-09-04,3008.62
2024-09-05,3010.91
2024-09-06,3013.52
2024-09-09,3016.18
2024-09-10,3018.95
2024-09-11,3022.42
2024-09-12,3026.01
2024-09-13,3029.32
2024-09-16,3032.37
2024-09-17,3035.16
2024-09-18,3037.54
2024-09-19,3040.09
2024-09-20,3042.74
2024-09-23,3045.08
2024-09-24,3047.1
2024-09-25,3049.07
2024-09-26,3051.34
2024-09-27,3053.92
2024-09-30,3056.66
2024-10-01,3058.85
2024-10-03,3059.75
2024-10-04,3059.88
2024-10-07,3059.9
2024-10-08,3060.18
2024-10-09,3060.37
2024-10-10,3060.36
2024-10-11,3060.13
2024-10-14,3059.92
2024-10-15,3059.99
2024-10-16,3060.21
2024-10-17,3060.17
2024-10-18,3059.49
2024-10-21,3059.39
2024-10-22,3058.86
2024-10-23,3058.18
2024-10-24,3057.32
2024-10-25,3056.33
2024-10-28,3055.79
2024-10-29,3055.16
2024-10-30,3054.58
2024-10-31,3053.4
2024-11-01,3052.27
2024-11-04,3050.9
2024-11-05,3049.28
2024-11-06,3047.76
2024-11-07,3045.72
2024-11-08,3042.98
2024-11-11,3038.0
2024-11-12,3032.4
2024-11-13,3026.81
2024-11-14,3021.4
2024-11-18,3016.05
2024-11-19,3010.75
2024-11-21,3004.95
2024-11-22,2999.65
2024-11-25,2994.28
2024-11-26,2989.41
2024-11-27,2984.46
2024-11-28,2979.22
2024-11-29,2974.25
2024-12-02,2969.32
2024-12-03,2964.35
2024-12-04,2959.33
2024-12-05,2954.28
2024-12-06,2949.06
2024-12-09,2943.52
2024-12-10,2938.0
2024-12-11,2932.82
2024-12-12,2927.41
2024-12-13,2922.24
2024-12-16,2917.06
2024-12-17,2911.48
2024-12-18,2905.85
2024-12-19,2899.74
2024-12-20,2893.6
2024-12-23,2887.48
2024-12-24,2881.48
2024-12-26,2875.32
2024-12-27,2869.31
2024-12-30,2863.53
2024-12-31,2857.74
2025-01-01,2852.23
2025-01-02,2847.17
2025-01-03,2842.08
2025-01-06,2836.36
2025-01-07,2830.95
2025-01-08,2826.01
2025-01-09,2821.27
2025-01-10,2816.29
2025-01-13,2810.69
2025-01-14,2805.01
2025-01-15,2799.28
2025-01-16,2793.47
2025-01-17,2788.18
2025-01-20,2783.12
2025-01-21,2777.92
2025-01-22,2772.79
2025-01-23,2767.85
2025-01-24,2762.82
2025-01-27,2757.73
2025-01-28,2752.6
2025-01-29,2747.33
2025-01-30,2742.38
2025-01-31,2737.99
2025-02-01,2734.14
2025-02-03,2729.74
2025-02-04,2726.01
2025-02-05,2721.52
2025-02-06,2716.96
2025-02-07,2712.52
2025-02-10,2708.12
2025-02-11,2703.47
2025-02-12,2698.75
2025-02-13,2694.14
2025-02-14,2689.54
2025-02-17,2685.17
2025-02-18,2680.72
2025-02-19,2676.33
2025-02-20,2672.08
2025-02-21,2667.95
2025-02-24,2663.75
2025-02-25,2659.39
2025-02-27,2654.95
2025-02-28,2650.22
2025-03-03,2645.41
2025-03-04,2640.3
2025-03-05,2635.56
2025-03-06,2631.9
2025-03-07,2628.3
2025-03-10,2624.82
2025-03-11,2621.46
2025-03-12,2617.78
2025-03-13,2613.94
2025-03-17,2610.01
2025-03-18,2606.67
2025-03-19,2603.42
2025-03-20,2600.28
2025-03-21,2597.29
2025-03-24,2594.56
2025-03-25,2591.93
2025-03-26,2589.26
2025-03-27,2586.76
2025-03-28,2584.31
2025-04-01,2581.64
2025-04-02,2578.91
2025-04-03,2576.62
2025-04-04,2574.43
2025-04-07,2572.11
2025-04-08,2570.34
2025-04-09,2568.75
2025-04-11,2567.01
2025-04-15,2565.51
2025-04-16,2564.46
2025-04-17,2563.49
2025-04-21,2562.32
2025-04-22,2561.02
2025-04-23,2559.94
2025-04-24,2558.99
2025-04-25,2557.73
2025-04-28,2556.68
2025-04-29,2555.63
2025-04-30,2554.33
2025-05-02,2552.9
2025-05-05,2551.74
2025-05-06,2550.41
2025-05-07,2548.26
2025-05-08,2545.81
2025-05-09,2543.36
2025-05-12,2541.5
2025-05-13,2539.35
2025-05-14,2536.79
2025-05-15,2534.73
2025-05-16,2532.93
2025-05-19,2530.92
2025-05-20,2528.58
2025-05-21,2526.43
2025-05-22,2524.17
2025-05-23,2522.09
2025-05-26,2520.15
2025-05-27,2518.24
2025-05-28,2516.1
2025-05-29,2513.89
2025-05-30,2511.35
2025-06-02,2508.92
2025-06-03,2506.4
2025-06-04,2503.84
2025-06-05,2501.25
2025-06-06,2498.7
