tickerId,companyName,remarks,boardMeetDate,purpose
S0003079,Asian Paints,,2025-05-08,Audited Results & Final Dividend
S0003079,Asian Paints,,2025-02-04,Quarterly Results
S0003079,Asian Paints,,2024-11-09,Quarterly Results & Interim Dividend
S0003079,Asian Paints,,2024-07-17,Quarterly Results
S0003079,Asian Paints,,2024-05-09,Audited Results & Final Dividend
S0003079,Asian Paints,,2024-05-08,Audited Results & Final Dividend
S0003079,Asian Paints,,2024-01-17,Quarterly Results
S0003079,Asian Paints,,2023-10-26,Quarterly Results & Interim Dividend
S0003079,Asian Paints,,2023-07-25,Quarterly Results
S0003079,Asian Paints,,2023-05-11,Audited Results & Final Dividend
S0003079,Asian Paints,,2023-01-19,Quarterly Results
S0003079,Asian Paints,,2022-10-20,Quarterly Results & Interim Dividend
S0003079,Asian Paints,,2022-07-26,Quarterly Results
S0003079,Asian Paints,,2022-05-10,Audited Results & Final Dividend
S0003079,Asian Paints,,2022-01-20,Quarterly Results
S0003079,Asian Paints,,2021-10-21,Quarterly Results & Interim Dividend
S0003079,Asian Paints,,2021-07-20,Quarterly Results
S0003079,Asian Paints,,2021-05-12,Audited Results & Final Dividend
S0003079,Asian Paints,,2021-01-21,Quarterly Results
