displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,320.33,,,2021,Annual
Cash Equivalents ,CashEquivalents,26.06,,,2021,Annual
Short Term Investments ,ShortTermInvestments,4431.59,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,4777.98,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,2606.16,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,3030.79,,,2021,Annual
Total Inventory ,TotalInventory,3798.60,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,419.23,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,12026.60,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,7617.90,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-2296,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,5504.88,,,2021,Annual
Goodwill Net ,GoodwillNet,302.63,,,2021,Annual
Intangibles Net ,IntangiblesNet,233.99,,,2021,Annual
Long Term Investments ,LongTermInvestments,1474.67,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,644.68,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,182.17,,,2021,Annual
Total Assets ,TotalAssets,20369.62,,,2021,Annual
Accounts Payable ,AccountsPayable,3378.72,,,2021,Annual
Accrued Expenses ,AccruedExpenses,270.87,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,325.70,,,2021,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,191.53,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1759.04,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5925.86,,,2021,Annual
Long Term Debt ,LongTermDebt,14.53,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,561.36,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,575.89,,,2021,Annual
Total Debt ,TotalDebt,1093.12,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,415.59,,,2021,Annual
Minority Interest ,MinorityInterest,422.86,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,223.13,,,2021,Annual
Total Liabilities ,TotalLiabilities,7563.33,,,2021,Annual
Common Stock Total ,CommonStockTotal,95.92,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),12672.86,,,2021,Annual
Other Equity Total ,OtherEquityTotal,37.51,,,2021,Annual
Total Equity ,TotalEquity,12806.29,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,20369.62,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,95.92,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,127.92,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
