displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,1084.01,,,2024,Interim
Short Term Investments ,ShortTermInvestments,4854.76,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,5938.77,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,4889.05,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,4889.05,,,2024,Interim
Total Inventory ,TotalInventory,5923.41,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,785.83,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,17537.06,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,9000.84,,,2024,Interim
Goodwill Net ,GoodwillNet,419.19,,,2024,Interim
Intangibles Net ,IntangiblesNet,424.96,,,2024,Interim
Long Term Investments ,LongTermInvestments,1991.02,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,1.78,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,549.24,,,2024,Interim
Total Assets ,TotalAssets,29924.09,,,2024,Interim
Accounts Payable ,AccountsPayable,3831.34,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1052.76,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,271.95,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,3344.91,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,8500.96,,,2024,Interim
Long Term Debt ,LongTermDebt,54.38,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,1095.29,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,1149.67,,,2024,Interim
Total Debt ,TotalDebt,2474.38,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,352.17,,,2024,Interim
Minority Interest ,MinorityInterest,695.38,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,497.61,,,2024,Interim
Total Liabilities ,TotalLiabilities,11195.79,,,2024,Interim
Common Stock Total ,CommonStockTotal,95.92,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),18632.38,,,2024,Interim
Total Equity ,TotalEquity,18728.30,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,29924.09,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,95.88,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,186.52,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
