displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,3633.99,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,781.94,,,2020,Annual
Non- Cash Items ,Non-CashItems,-36.19,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-1747.85,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,2631.89,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-413.69,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-107.73,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-521.42,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,95.95,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-2120.71,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-440.44,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-2465.20,,,2020,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,3.51,,,2020,Annual
Net Changein Cash ,NetChangeinCash,-351.22,,,2020,Annual
Cash Interest Paid ,CashInterestPaid,100.89,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,1010.75,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
