displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,21712.79,,,2021,Annual
Total Revenue ,TotalRevenue,21712.79,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,12293.85,,,2021,Annual
Gross Profit ,GrossProfit,9418.94,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,4087.60,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,791.27,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-3.20,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,475.74,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,17645.26,,,2021,Annual
Operating Income ,OperatingIncome,4067.53,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,137.43,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,18.33,,,2021,Annual
Other Net ,OtherNet,81.06,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,4304.35,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1097.60,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,3206.75,,,2021,Annual
Minority Interest ,MinorityInterest,-67.46,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,3139.29,,,2021,Annual
Total Extraordinary Items ,TotalExtraordinaryItems,0.00,,,2021,Annual
Net Income ,NetIncome,3139.29,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,3139.29,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,3139.29,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,3139.29,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,95.92,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,32.73,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,17.85,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,32.56,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
