displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,35494.73,,,2024,Annual
Total Revenue ,TotalRevenue,35494.73,,,2024,Annual
Costof Revenue Total ,CostofRevenueTotal,20504.18,,,2024,Annual
Gross Profit ,GrossProfit,14990.55,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,6525.02,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,853.00,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-5.50,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,859.27,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,28735.97,,,2024,Annual
Operating Income ,OperatingIncome,6758.76,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,244.62,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,2.08,,,2024,Annual
Other Net ,OtherNet,342.31,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,7347.77,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1790.08,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,5557.69,,,2024,Annual
Minority Interest ,MinorityInterest,-97.46,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,5460.23,,,2024,Annual
Net Income ,NetIncome,5460.23,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,5460.23,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,5460.23,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,5460.23,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,95.90,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,56.94,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,33.30,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,56.88,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
