displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,8969.73,,,2025,Interim
Total Revenue ,TotalRevenue,8969.73,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,5154.57,,,2025,Interim
Gross Profit ,GrossProfit,3815.16,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,674.22,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,227.70,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,1447.17,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,7503.66,,,2025,Interim
Operating Income ,OperatingIncome,1466.07,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-18.66,,,2025,Interim
Other Net ,OtherNet,156.21,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,1603.62,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,416.83,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,1186.79,,,2025,Interim
Minority Interest ,MinorityInterest,-16.81,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1169.98,,,2025,Interim
Net Income ,NetIncome,1169.98,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1169.98,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1169.98,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,1169.98,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,95.90,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,12.20,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,12.20,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
