displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,13.62
Gross Margin - 5 year average,grossMargin5YearAverage,39.98
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),13.63
Operating Margin - 5 year average,operatingMargin5YearAverage,16.01
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,10.94
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,41.18
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,10.94
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,12.77
Pretax Margin - 5 year average,pretaxMargin5YearAverage,17.21
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-1.61
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,15.05
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,15.05
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,1.87
Gross Margin - trailing 12 month,grossMarginTrailing12Month,42.44
