displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,24.15
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,49.38
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,49.39
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,196.21
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,54.08
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,38.24
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,38.25
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,62.62
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,353.50
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,38.24
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,38.25
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,38.25
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,202.35
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,202.35
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,24.80
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,353.60
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,40.96
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,196.21
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,24.80
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,38.25
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,48.94
