Date,Sales,Expenses,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,7893.0,6449.0,1443.0,18.0,-26.0,23.0,205.0,1189.0,26.0,874.0,8.87
2022-06-01,8607.0,7051.0,1556.0,18.0,88.0,29.0,208.0,1407.0,26.0,1036.0,10.6
2022-09-01,8458.0,7230.0,1228.0,15.0,118.0,35.0,216.0,1094.0,27.0,804.0,8.16
2022-12-01,8637.0,7025.0,1611.0,19.0,122.0,41.0,214.0,1478.0,26.0,1097.0,11.18
2023-03-01,8787.0,6923.0,1865.0,21.0,104.0,39.0,220.0,1710.0,26.0,1258.0,12.87
2023-06-01,9182.0,7061.0,2121.0,23.0,228.0,46.0,198.0,2105.0,25.0,1575.0,16.16
2023-09-01,8479.0,6762.0,1716.0,20.0,194.0,51.0,209.0,1651.0,25.0,1232.0,12.57
2023-12-01,9103.0,7047.0,2056.0,23.0,186.0,54.0,220.0,1968.0,25.0,1475.0,15.09
2024-03-01,8731.0,7039.0,1691.0,19.0,212.0,54.0,226.0,1624.0,21.0,1275.0,13.1
2024-06-01,8970.0,7276.0,1694.0,19.0,193.0,55.0,228.0,1604.0,26.0,1187.0,12.2
2024-09-01,8028.0,6788.0,1240.0,15.0,25.0,63.0,242.0,959.0,28.0,694.0,7.24
2024-12-01,8549.0,6913.0,1637.0,19.0,193.0,56.0,256.0,1518.0,26.0,1128.0,11.58
2025-03-01,8359.0,6923.0,1436.0,17.0,-60.0,53.0,301.0,1022.0,31.0,701.0,7.22
