displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,61975.98,,,2021,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,231663.44,,,2021,Annual
Net Loans ,NetLoans,620870.61,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,10148.41,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-5818.72,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,4329.69,,,2021,Annual
Goodwill Net ,GoodwillNet,289.24,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7615.89,,,2021,Annual
Other Assets Total ,OtherAssetsTotal,74259.69,,,2021,Annual
Total Assets ,TotalAssets,1001004.54,,,2021,Annual
Accounts Payable ,AccountsPayable,3898.24,,,2021,Annual
Total Deposits ,TotalDeposits,698302.63,,,2021,Annual
Total Short Term Borrowings ,TotalShortTermBorrowings,7032.65,,,2021,Annual
Long Term Debt ,LongTermDebt,152248.72,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,152248.72,,,2021,Annual
Total Debt ,TotalDebt,159281.37,,,2021,Annual
Minority Interest ,MinorityInterest,173.75,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,35754.85,,,2021,Annual
Total Liabilities ,TotalLiabilities,897410.84,,,2021,Annual
Common Stock Total ,CommonStockTotal,612.75,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,51272.03,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),50223.67,,,2021,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,0.00,,,2021,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),1254.00,,,2021,Annual
Other Equity Total ,OtherEquityTotal,231.25,,,2021,Annual
Total Equity ,TotalEquity,103593.70,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1001004.54,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,306.37,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,337.18,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
