displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,36586.47,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,1766.97,,,2025,Annual
Non- Cash Items ,Non-CashItems,741.77,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,5288.47,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,44383.68,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-2445.54,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-48769.59,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-51215.13,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,135.69,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-309.09,,,2025,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,685.84,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-7512.80,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-7000.36,,,2025,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,37.33,,,2025,Annual
Net Changein Cash ,NetChangeinCash,-13794.48,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,8148.01,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
