displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,127374.09,,,2025,Annual
Total Interest Expense ,TotalInterestExpense,71036.31,,,2025,Annual
Net Interest Income ,NetInterestIncome,56337.78,,,2025,Annual
Loan Loss Provision ,LoanLossProvision,8166.35,,,2025,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,48171.43,,,2025,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,28542.77,,,2025,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-39992.04,,,2025,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,36722.16,,,2025,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,8610.42,,,2025,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,28111.74,,,2025,Annual
Minority Interest ,MinorityInterest,-135.69,,,2025,Annual
Equity In Affiliates ,EquityInAffiliates,79.06,,,2025,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,28055.11,,,2025,Annual
Net Income ,NetIncome,28055.11,,,2025,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,28055.11,,,2025,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,28055.11,,,2025,Annual
Diluted Net Income ,DilutedNetIncome,28055.11,,,2025,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,309.25,,,2025,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,90.72,,,2025,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,1.00,,,2025,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,90.72,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
