id,headline,intro,byline,date,timeToRead,premiumStory,section,keywords,url,thumbnailimage,listimage,smallimage,bigimage,imagecaption,image_621x414,image_222x148,sliderimages,slidervideos,interactives,body
11749193933965,These three large-cap stocks are trouncing the Sensex in 2025?so far,"A trio of large-caps has surged over 25% this year, defying the broader market?s sluggishness. But with valuations stretched, can the rally hold?",,"Fri, 06 Jun 2025 15:05 PM IST IST",7,true,Markets,,https://www.livemint.com/market/stock-market-news/largecaps-india-2025-sensex-best-nbfc-stocks-india-bajaj-finance-shares-cholamandalam-investment-stock-idbi-bank-shares-11749193933965.html,https://www.livemint.com/lm-img/img/2025/06/06/90x90/sensex_1749198047398_1749198047610.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/sensex_1749198047398_1749198047610.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/sensex_1749198047398_1749198047610.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/sensex_1749198047398_1749198047610.jpg,Three large-cap stocks have clearly outperformed the Sensex in 2025?but their sharp rallies call for measured optimism. (Image: Pixabay),https://www.livemint.com/lm-img/img/2025/06/06/600x338/sensex_1749198047398_1749198047610.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/sensex_1749198047398_1749198047610.jpg,[],[],"[{'interactiveurl': 'http:https://datawrapper.dwcdn.net/ecZff/full.png'}, {'interactiveurl': 'http:https://datawrapper.dwcdn.net/7tJTy/full.png'}, {'interactiveurl': 'http:https://datawrapper.dwcdn.net/3CbuL/full.png'}]",
11749194447516,Stock Market Strategy: InCred Equities lists 21 stocks to buy this June,"Despite a 4% gain in benchmark indices in 2025, Indian equity markets remain volatile due to global trade tensions. InCred Equities recommends 21 stocks with an ?Add? rating, highlighting a favorable monsoon and strong GVA growth as key positives for investors.",Pranati Deva,"Fri, 06 Jun 2025 13:04 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/stock-market-strategy-incred-equities-lists-21-stocks-to-buy-this-june-11749194447516.html,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,Stock Market Strategy: InCred Equities lists 21 stocks to buy this June,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,[],[],[],
11749037548940,What drives the new corporate love for bond market,"Falling yields are making the bond market a tempting option for top-rated companies. Bankers say that while they are also investing in bonds, declining yields are making it difficult to justify their investments.",Anshika KayasthaShayan Ghosh,"Thu, 05 Jun 2025 06:00 AM IST IST",4,true,Industry,,https://www.livemint.com/industry/banking/corporate-bonds-banks-lending-rate-mclr-axis-bank-idfc-first-bank-of-baroda-investing-sebi-rbi-psu-private-sector-11749037548940.html,https://www.livemint.com/lm-img/img/2025/06/04/90x90/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,https://www.livemint.com/lm-img/img/2025/06/04/90x90/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,https://www.livemint.com/lm-img/img/2025/06/04/90x90/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,https://www.livemint.com/lm-img/img/2025/06/04/600x338/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,The interest of companies in the debt markets has been fuelled by softening yields.,https://www.livemint.com/lm-img/img/2025/06/04/600x338/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,https://www.livemint.com/lm-img/img/2025/06/04/600x338/3-0-100372714-newru1-khwD--621x414-LiveMint-0_1679853997899_1749053723723.jpg,[],[],[{'interactiveurl': 'http:https://datawrapper.dwcdn.net/MGYA4/full.png'}],
11748942627493,These five private banks in India have the lowest NPAs. Should you invest?,"From an investment perspective, picking banks with low NPAs translates into a more stable and predictable earnings stream, a vital consideration when seeking reliable returns.",Equitymaster,"Thu, 05 Jun 2025 16:52 PM IST IST",7,true,Markets,,https://www.livemint.com/market/stock-market-news/private-banks-in-india-best-private-banks-private-banks-with-low-npas-retail-loans-advances-11748942627493.html,https://www.livemint.com/lm-img/img/2025/06/03/90x90/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,https://www.livemint.com/lm-img/img/2025/06/03/90x90/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,https://www.livemint.com/lm-img/img/2025/06/03/90x90/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,https://www.livemint.com/lm-img/img/2025/06/03/600x338/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,NPAs or non-performing assets are loans and advances given by a bank to its customers that are default or close to being in default. (Image: Pixabay),https://www.livemint.com/lm-img/img/2025/06/03/600x338/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,https://www.livemint.com/lm-img/img/2025/06/03/600x338/g27f1a621db81f18e7e5a96f8c83a04a4b016a35872983779b_1748944723424_1748944723565.jpg,"[{'imageurl': 'https://www.livemint.com/lm-img/img/2025/06/03/original/RAJA_IMG1_1748943754911.jpg', 'count': '1', 'imagescaption': 'Source: Equitymaster'}, {'imageurl': 'https://www.livemint.com/lm-img/img/2025/06/03/original/RAJA_IMG1_1748943959351.jpg', 'count': '2', 'imagescaption': 'Source: Equitymaster'}, {'imageurl': 'https://www.livemint.com/lm-img/img/2025/06/03/original/RAJA_IMG1_1748944053518.jpg', 'count': '3', 'imagescaption': 'Source: Equitymaster'}, {'imageurl': 'https://www.livemint.com/lm-img/img/2025/06/03/original/RAJA_IMG1_1748944359239.jpg', 'count': '4', 'imagescaption': 'Source: Equitymaster'}, {'imageurl': 'https://www.livemint.com/lm-img/img/2025/06/03/original/RAJA_IMG1_1748944607570.jpg', 'count': '5', 'imagescaption': 'Source: Equitymaster'}]",[],[],
11748936919413,"5 popular credit cards for couples in 2025: Best for travel, dining and rewards","Check out the popular credit cards for couples in 2025 offering rewards on travel, dining, and lifestyle with shared benefits, add-on cards, and exclusive perks tailored for Indian users.",Shivam Shukla,"Tue, 03 Jun 2025 13:46 PM IST IST",4,false,Money,,https://www.livemint.com/money/personal-finance/5-popular-credit-cards-for-couples-in-2025-best-for-travel-dining-and-rewards-11748936919413.html,https://www.livemint.com/lm-img/img/2025/06/03/90x90/shopping__1747755950802_1748937035257.jpg,https://www.livemint.com/lm-img/img/2025/06/03/90x90/shopping__1747755950802_1748937035257.jpg,https://www.livemint.com/lm-img/img/2025/06/03/90x90/shopping__1747755950802_1748937035257.jpg,https://www.livemint.com/lm-img/img/2025/06/03/600x338/shopping__1747755950802_1748937035257.jpg,"Top credit cards for Indian couples in 2025 offering lounge access, dining rewards and shared expenses tracking.",https://www.livemint.com/lm-img/img/2025/06/03/600x338/shopping__1747755950802_1748937035257.jpg,https://www.livemint.com/lm-img/img/2025/06/03/600x338/shopping__1747755950802_1748937035257.jpg,[],[],[],
11748930605399,"Axis Securities raises Nifty target to 26,300 for March 2026; top stock picks include HDFC Bank, SBI, and others","Axis Securities has raised its Nifty 50 target to 26,300 for March 2026, citing strong earnings and market sentiment. While a near-term consolidation is anticipated due to global uncertainties, the firm remains bullish on domestic sectors and has adjusted its portfolio to focus on quality stocks.",Pranati Deva,"Tue, 03 Jun 2025 12:54 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/axis-securities-raises-nifty-target-to-26-300-for-march-2026-top-stock-picks-include-hdfc-bank-sbi-and-others-11748930605399.html,https://www.livemint.com/lm-img/img/2025/06/03/90x90/GROWW-IPO--0_1748279782550_1748935381546.JPG,https://www.livemint.com/lm-img/img/2025/06/03/90x90/GROWW-IPO--0_1748279782550_1748935381546.JPG,https://www.livemint.com/lm-img/img/2025/06/03/90x90/GROWW-IPO--0_1748279782550_1748935381546.JPG,https://www.livemint.com/lm-img/img/2025/06/03/600x338/GROWW-IPO--0_1748279782550_1748935381546.JPG,"Axis Securities raises Nifty target to 26,300 for March 2026; top stock picks include HDFC Bank, SBI, and others",https://www.livemint.com/lm-img/img/2025/06/03/600x338/GROWW-IPO--0_1748279782550_1748935381546.JPG,https://www.livemint.com/lm-img/img/2025/06/03/600x338/GROWW-IPO--0_1748279782550_1748935381546.JPG,[],[],[],
11748852135245,"Nomura raises Nifty target to 26,140 for March 2026, highlights 17 high-conviction stock picks","Nomura has raised its Nifty 50 target to 26,140 for March 2026, citing India's macroeconomic stability and potential. The upgrade reflects a 6% upside and focuses on domestic demand-driven sectors, supported by reforms and liquidity, despite global market uncertainties.",Pranati Deva,"Mon, 02 Jun 2025 14:00 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/nomura-raises-nifty-target-to-26-140-for-march-2026-highlights-17-high-conviction-stock-picks-11748852135245.html,https://www.livemint.com/lm-img/img/2025/06/02/90x90/BullsBears_Pixabay_1732857595587_1748852568051.jpg,https://www.livemint.com/lm-img/img/2025/06/02/90x90/BullsBears_Pixabay_1732857595587_1748852568051.jpg,https://www.livemint.com/lm-img/img/2025/06/02/90x90/BullsBears_Pixabay_1732857595587_1748852568051.jpg,https://www.livemint.com/lm-img/img/2025/06/02/600x338/BullsBears_Pixabay_1732857595587_1748852568051.jpg,"Nomura raises Nifty target to 26,140 for March 2026, highlights 17 high-conviction stock picks",https://www.livemint.com/lm-img/img/2025/06/02/600x338/BullsBears_Pixabay_1732857595587_1748852568051.jpg,https://www.livemint.com/lm-img/img/2025/06/02/600x338/BullsBears_Pixabay_1732857595587_1748852568051.jpg,[],[],[],
11748797009689,"Canara Bank waives minimum balance requirements ? Here's what SBI, HDFC, Axis Bank, among others mandate","Canara Bank announced that it has waived the average monthly balance (AMB) requirement for all types of savings bank accounts effective Sunday, 1 June 2025. Check what some of the other banks are offering you.&nbsp;",Anubhav Mukherjee,"Sun, 01 Jun 2025 23:07 PM IST IST",2,false,Industry,,https://www.livemint.com/industry/banking/canara-bank-waives-minimum-balance-requirements-heres-what-sbi-hdfc-axis-bank-among-others-mandate-11748797009689.html,https://www.livemint.com/lm-img/img/2025/06/01/90x90/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,https://www.livemint.com/lm-img/img/2025/06/01/90x90/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,https://www.livemint.com/lm-img/img/2025/06/01/90x90/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,https://www.livemint.com/lm-img/img/2025/06/01/600x338/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,"Canara Bank, effective Sunday, 1 June 2025, removed the minimum balance requirements for all its savings accounts. ",https://www.livemint.com/lm-img/img/2025/06/01/600x338/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,https://www.livemint.com/lm-img/img/2025/06/01/600x338/2-0-672066241-pnb1-0_1680247769713_1748799143831.jpg,[],[],[],
11748584980820,A New Digital Address: Max Life Insurance moves to axismaxlife.com,"Axis Max Life Insurance Limited rebranded from Max Life Insurance on December 13, 2024, and launched a new website, www.axismaxlife.com.",Focus,"Wed, 04 Jun 2025 14:02 PM IST IST",2,false,focus,,https://www.livemint.com/focus/a-new-digital-address-max-life-insurance-moves-to-axismaxlifecom-11748584980820.html,https://www.livemint.com/lm-img/img/2025/05/30/90x90/for_livemint_1748585053175_1748585066048.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/for_livemint_1748585053175_1748585066048.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/for_livemint_1748585053175_1748585066048.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/for_livemint_1748585053175_1748585066048.jpg,"Axis Max Life Insurance, previously Max Life Insurance, rebranded on December 13, 2024.",https://www.livemint.com/lm-img/img/2025/05/30/600x338/for_livemint_1748585053175_1748585066048.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/for_livemint_1748585053175_1748585066048.jpg,[],[],[],
11748530771204,Understanding and retaining Gen Z: Key focus for India's BFSI industry,"High attrition rates and evolving generations are forcing BFSI companies to reimagine themselves and adopt new hiring tools to attract new talent, according to HR leaders who spoke at the CHRO roundtable organised recently by Mint and UNext Manipal Academy of BFSI.",,"Fri, 30 May 2025 16:20 PM IST IST",6,false,News,,https://www.livemint.com/news/understanding-and-retaining-gen-z-key-focus-for-indias-bfsi-industry-a-mint-unext-chro-roundtable-11748530771204.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/VKS_0602-2_1748531187061_1748531205806.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/VKS_0602-2_1748531187061_1748531205806.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/VKS_0602-2_1748531187061_1748531205806.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/VKS_0602-2_1748531187061_1748531205806.jpg,(From left) Aatash Shah of UNext Manipal Academy of BFSI; Abhijeet Bose of Yes Securities (India) Limited; Vikas Kapoor of Aditya Birla Capital; Vaishali Worah of Axis Mutual Fund; D. Ramesh of Tamilnad Mercantile Bank; Akhila Ananthanarayanan of Zurich Kotak General Insurance; Anushri Verma of Kotak Mahindra Bank; Anjum Sheikh of Tata AIG; Poppy Sharma of Central Bank of India; Sunder Natarajan of India First Life Insurance; Ravi Khanna of Bobcard; Ashish Parab of Star Union Dai-ichi; and Rupesh Shinde of IndusInd Bank,https://www.livemint.com/lm-img/img/2025/05/29/600x338/VKS_0602-2_1748531187061_1748531205806.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/VKS_0602-2_1748531187061_1748531205806.jpg,[],[],[],
