Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs
2022-03-01,18209.0,9162.0,7936.0,1111.0,6.0,4792.0,0.0,5903.0,25.0,4444.0,14.39
2022-06-01,19193.0,9565.0,7168.0,2460.0,13.0,3423.0,0.0,5883.0,25.0,4402.0,14.26
2022-09-01,20783.0,10150.0,7450.0,3182.0,15.0,4390.0,0.0,7573.0,26.0,5636.0,18.27
2022-12-01,22843.0,11094.0,8577.0,3171.0,14.0,5148.0,0.0,8319.0,25.0,6215.0,20.12
2023-03-01,24630.0,12580.0,8101.0,3948.0,16.0,-7101.0,0.0,-3153.0,70.0,-5334.0,-17.43
2023-06-01,26246.0,13972.0,9731.0,2543.0,10.0,5648.0,0.0,8192.0,26.0,6113.0,19.78
2023-09-01,27418.0,14749.0,10059.0,2609.0,10.0,5705.0,0.0,8314.0,25.0,6230.0,20.13
2023-12-01,28865.0,15943.0,10506.0,2416.0,8.0,6272.0,0.0,8688.0,25.0,6520.0,21.05
2024-03-01,30231.0,16727.0,11124.0,2379.0,8.0,7606.0,0.0,9985.0,24.0,7630.0,24.62
2024-06-01,31159.0,17261.0,11892.0,2006.0,6.0,6637.0,0.0,8643.0,25.0,6467.0,20.83
2024-09-01,31601.0,17615.0,12412.0,1575.0,5.0,7603.0,0.0,9177.0,19.0,7436.0,23.93
2024-12-01,32162.0,18040.0,11913.0,2210.0,7.0,6797.0,0.0,9007.0,25.0,6779.0,21.78
2025-03-01,32452.0,18121.0,11943.0,2389.0,7.0,7506.0,0.0,9895.0,24.0,7509.0,24.13
