rank,since,firstName,mI,lastName,age,title
1,05/2000,Rajivnayan,Rahulkumar,Bajaj,58,"{'startYear': '2020', 'startMonth': '4', 'startDay': '1', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director'}"
2,03/15/2022,Dinesh,,Thapar,,"{'startYear': '2022', 'startMonth': '3', 'startDay': '15', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Financial Officer'}"
3,NA,Kevin,P.,D'Sa,68,"{'startYear': '2023', 'startMonth': '9', 'startDay': '25', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Retail Finance (Managing Director of Bajaj Auto Credit Ltd)'}"
4,2018,K.,S.,Grihapathy,,"{'startYear': '2020', 'startMonth': '3', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Export Business'}"
5,02/2019,Sarang,,Kanade,,"{'startYear': '2019', 'startMonth': '2', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Motorcycle Business'}"
6,2018,Sumeet,,Narang,,"{'startYear': '2020', 'startMonth': '3', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Probiking Business'}"
7,2020,Samardeep,,Subandh,,"{'startYear': '2020', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Intra-City Business'}"
8,03/2009,Eric,,Vas,,"{'startYear': '2018', 'startMonth': '', 'startDay': '', 'iD1': 'CEX', 'abbr1': 'Corp. Exec.', 'iD2': '', 'abbr2': '', 'Value': 'President - Urbanite Business'}"
9,02/2017,Ravi,Kyran,Ramasamy,,"{'startYear': '2020', 'startMonth': '3', 'startDay': '', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': '', 'abbr2': '', 'Value': 'Chief Human Resources Officer'}"
10,04/01/2024,Ramtilak,,Ananthan,,"{'startYear': '2024', 'startMonth': '4', 'startDay': '1', 'iD1': 'CTO', 'abbr1': 'CTO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Technology Officer'}"
