tickerId,companyName,remarks,boardMeetDate,purpose
S0003120,Bajaj Auto,,2025-05-29,Audited Results & Final Dividend
S0003120,Bajaj Auto,,2025-01-28,Quarterly Results
S0003120,Bajaj Auto,,2024-10-16,Quarterly Results
S0003120,Bajaj Auto,,2024-07-16,Quarterly Results
S0003120,Bajaj Auto,,2024-04-18,Audited Results & Dividend
S0003120,Bajaj Auto,,2024-01-24,Quarterly Results
S0003120,Bajaj Auto,,2024-01-08,Buy Back of shares
S0003120,Bajaj Auto,,2023-10-18,Quarterly Results
S0003120,Bajaj Auto,,2023-07-25,Quarterly Results
S0003120,Bajaj Auto,,2023-04-25,Audited Results & Final Dividend
S0003120,Bajaj Auto,,2023-01-25,Quarterly Results
S0003120,Bajaj Auto,,2022-10-14,Quarterly Results
S0003120,Bajaj Auto,,2022-07-26,Quarterly Results
S0003120,Bajaj Auto,,2022-06-27,Buy Back of Shares
S0003120,Bajaj Auto,,2022-06-14,Buy Back of Shares
S0003120,Bajaj Auto,,2022-04-27,Audited Results & Dividend
S0003120,Bajaj Auto,,2022-01-19,Quarterly Results
S0003120,Bajaj Auto,,2021-10-27,Quarterly Results
S0003120,Bajaj Auto,,2021-07-22,Quarterly Results
S0003120,Bajaj Auto,,2021-04-29,Audited Results & Dividend
S0003120,Bajaj Auto,,2021-01-21,Quarterly Results
