displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,516.61,,,2021,Annual
Short Term Investments ,ShortTermInvestments,8028.13,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,8544.74,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,2776.42,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,3954.05,,,2021,Annual
Total Inventory ,TotalInventory,1493.89,,,2021,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,194.98,,,2021,Annual
Total Current Assets ,TotalCurrentAssets,14187.66,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,4181.79,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-2613.84,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1583.93,,,2021,Annual
Intangibles Net ,IntangiblesNet,47.30,,,2021,Annual
Long Term Investments ,LongTermInvestments,16710.84,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,1022.43,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,49.55,,,2021,Annual
Total Assets ,TotalAssets,33601.71,,,2021,Annual
Accounts Payable ,AccountsPayable,4574.11,,,2021,Annual
Accrued Expenses ,AccruedExpenses,257.60,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,811.83,,,2021,Annual
Total Current Liabilities ,TotalCurrentLiabilities,5643.54,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,0.00,,,2021,Annual
Total Debt ,TotalDebt,0.00,,,2021,Annual
Deferred Income Tax ,DeferredIncomeTax,522.14,,,2021,Annual
Minority Interest ,MinorityInterest,0.01,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,162.59,,,2021,Annual
Total Liabilities ,TotalLiabilities,6328.28,,,2021,Annual
Common Stock Total ,CommonStockTotal,289.37,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),26262.36,,,2021,Annual
Treasury Stock- Common ,TreasuryStock-Common,-32.14,,,2021,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),88.43,,,2021,Annual
Other Equity Total ,OtherEquityTotal,665.41,,,2021,Annual
Total Equity ,TotalEquity,27273.43,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,33601.71,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,28.94,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,940.89,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
