displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,10223.53,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,414.23,,,2025,Annual
Non- Cash Items ,Non-CashItems,-233.46,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-11809.87,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,-1405.57,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-873.84,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-182.43,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-1056.27,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-66.29,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-2235.32,,,2025,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-902.50,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,7434.18,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,4230.07,,,2025,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,2.85,,,2025,Annual
Net Changein Cash ,NetChangeinCash,1771.08,,,2025,Annual
Cash Interest Paid ,CashInterestPaid,66.30,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,2750.04,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
