displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,27608.34,,,2021,Annual
Total Revenue ,TotalRevenue,27608.34,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,20181.28,,,2021,Annual
Gross Profit ,GrossProfit,7427.06,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2215.94,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,257.77,,,2021,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,1.60,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,353.90,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,23010.49,,,2021,Annual
Operating Income ,OperatingIncome,4597.85,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,1648.82,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-11.16,,,2021,Annual
Other Net ,OtherNet,5.92,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,6241.43,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1384.41,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,4857.02,,,2021,Annual
Minority Interest ,MinorityInterest,0.00,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4857.02,,,2021,Annual
Net Income ,NetIncome,4857.02,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4857.02,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4857.02,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,4857.02,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,28.92,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,167.92,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,140.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,168.22,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
