displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,12165.33,,,2024,Interim
Total Revenue ,TotalRevenue,12165.33,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,8654.53,,,2024,Interim
Gross Profit ,GrossProfit,3510.80,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,404.15,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,92.91,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,691.75,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,9843.34,,,2024,Interim
Operating Income ,OperatingIncome,2321.99,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-12.10,,,2024,Interim
Other Net ,OtherNet,356.33,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,2666.22,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,633.60,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,2032.62,,,2024,Interim
Minority Interest ,MinorityInterest,0.00,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2032.62,,,2024,Interim
Net Income ,NetIncome,2032.62,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2032.62,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2032.62,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,2032.62,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,28.27,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,71.90,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,71.90,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
