displayName,key,value
Earnings before taxes - most recent fiscal year,earningsBeforTaxesMostRecentFiscalYear,102235.30
Revenue - trailing 12 month,revenueTrailing12Month),509945.50
Net Income available to common - most recent fiscal year,netIncomeAvailableToCommonMostRecentFiscalYear,75359.90
EBITD - trailing 12 month,eBITDTrailing12Month,104677.30
Net Income available to common - trailing 12 months,netIncomeAvailableToCommonTrailing12Months,75359.90
"Earnings per Share, Normalized, Excluding Extraordinary Items, Avg. Diluted Shares Outstanding, TTM",earningsPerShareNormalizedExcludingExtraordinaryItemsAvgDilutedSharesOutstandingTTM,269.98
Revenue - most recent fiscal year,revenueMostRecentFiscalYear,509945.50
"Net Income Available to Common, Normalized - most recent fiscal year",netIncomeAvailabletoCommonNormalizedMostRecentFiscalYear,75359.90
Earnings before taxes - trailing 12 month,earningsBeforeTaxesTrailing12Month,102235.30
Earnings before taxes Normalized - most recent fiscal year,earningsBeforeTaxesNormalizedMostRecentFiscalYear,102235.30
EBITD - most recent fiscal year,eBITDMostRecentFiscalYear,104677.30
