displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,142.00
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,284.82
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,284.37
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,1258.05
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,391.11
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,262.40
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,262.00
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,375.01
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,1826.89
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,269.98
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,269.97
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,270.18
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,1260.62
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,1260.62
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,210.00
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,1824.04
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,269.56
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,1258.05
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,210.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,269.56
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,391.11
