id,headline,intro,byline,date,timeToRead,premiumStory,section,keywords,url,thumbnailimage,listimage,smallimage,bigimage,imagecaption,image_621x414,image_222x148,sliderimages,slidervideos,interactives,body
11749194447516,Stock Market Strategy: InCred Equities lists 21 stocks to buy this June,"Despite a 4% gain in benchmark indices in 2025, Indian equity markets remain volatile due to global trade tensions. InCred Equities recommends 21 stocks with an ?Add? rating, highlighting a favorable monsoon and strong GVA growth as key positives for investors.",Pranati Deva,"Fri, 06 Jun 2025 13:04 PM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/stock-market-strategy-incred-equities-lists-21-stocks-to-buy-this-june-11749194447516.html,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/90x90/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,Stock Market Strategy: InCred Equities lists 21 stocks to buy this June,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,https://www.livemint.com/lm-img/img/2025/06/06/600x338/2-0-86659716-BSE1-4C--0_1681741441789_1749195212810.jpg,[],[],[],
11748577197893,Bajaj Auto share price falls over 2% after Q4 results. Should you buy or sell?,"Bajaj Auto share price has risen over 8% in one month, and more than 10% in three months. The auto stock is flat YTD, and has declined 3% in the past one year. However, Bajaj Auto shares have delivered strong returns over the long term. ",Ankit Gohel,"Fri, 30 May 2025 10:23 AM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/bajaj-auto-share-price-falls-over-2-after-q4-results-should-you-buy-or-sell-11748577197893.html,https://www.livemint.com/lm-img/img/2025/05/30/90x90/jbjjbjb_1734681360293_1748577330649.webp,https://www.livemint.com/lm-img/img/2025/05/30/90x90/jbjjbjb_1734681360293_1748577330649.webp,https://www.livemint.com/lm-img/img/2025/05/30/90x90/jbjjbjb_1734681360293_1748577330649.webp,https://www.livemint.com/lm-img/img/2025/05/30/600x338/jbjjbjb_1734681360293_1748577330649.webp,Bajaj Auto share price has rallied 90% in two years and has generated multibagger returns of 221% over the past five years.,https://www.livemint.com/lm-img/img/2025/05/30/600x338/jbjjbjb_1734681360293_1748577330649.webp,https://www.livemint.com/lm-img/img/2025/05/30/600x338/jbjjbjb_1734681360293_1748577330649.webp,[],[],[],
11748574693115,"Bajaj Auto, Samvardhana Motherson to NBCC: Six companies that declared dividend along with Q4 results","Dividend Stocks: Bajaj Auto, Motherson, NBCC, Mazagon Dock Shipbuilders Ltd, SJVN and Sobha Ltd are the Six companies that declared dividend along with Q4 results.",Ujjval Jauhari,"Fri, 30 May 2025 15:16 PM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/bajaj-auto-samvardhana-motherson-to-nbcc-five-companies-that-declared-dividend-along-with-q4-results-11748574693115.html,https://www.livemint.com/lm-img/img/2025/05/30/90x90/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,Dividend Stocks: Five companies that declared dividend ,https://www.livemint.com/lm-img/img/2025/05/30/600x338/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/g8afb05c17da83511f631d72c_1748574867077_1748574867317.jpg,[],[],[],
11748573907270,"Stocks to Watch: Suzlon, Ola, Bajaj Auto, Mazagon Dock, Senco Gold among shares in focus on May 30","The domestic equity market is anticipated to decline on May 30 following weak global trends. Key Indian firms like Suzlon Energy reported strong profits, while Ola Electric saw a significant increase in losses. Overall, market sentiment remains cautious amid economic concerns in the US.",A Ksheerasagar,"Fri, 30 May 2025 08:54 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-watch-suzlon-ola-bajaj-auto-mazagon-dock-senco-gold-among-shares-in-focus-on-may-30-11748573907270.html,https://www.livemint.com/lm-img/img/2025/05/30/90x90/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,https://www.livemint.com/lm-img/img/2025/05/30/90x90/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,"Stocks to Watch: Suzlon, Ola, Bajaj Auto, Mazagon Dock, Senco Gold among shares in focus on May 30",https://www.livemint.com/lm-img/img/2025/05/30/600x338/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,https://www.livemint.com/lm-img/img/2025/05/30/600x338/2-0-84176948-Mumbai-Stock-3Cnew--0_1681746786500_1748573957922.jpg,[],[],[],
11748530471032,Bajaj Auto flags danger of production cuts by July if rare-earth magnet issue remains unresolved,"Chinese restrictions on key rare-earth magnets posed an existential threat to the electric vehicle business, the auto company said.",Ayaan Kartik,"Thu, 29 May 2025 23:04 PM IST IST",2,false,Companies,,https://www.livemint.com/companies/news/bajaj-auto-flags-threat-of-production-cuts-by-july-if-rare-earth-magnet-issue-remains-unresolved-11748530471032.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,Bajaj?s management said that the launch timeline for the two-wheeler company?s upcoming electric variants will also be impacted.,https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748534538398.JPG,[],[],[],
11748523155991,"Bajaj Auto Q4 Results: Net profit rises 6% to  ?2,049 crore, revenue up 6% YoY; Dividend declared","Bajaj Auto Q4 Results: Bajaj, India's top auto exporter by volume, reported a 20% jump in overseas shipments. In contrast, domestic sales fell 8%.",Livemint,"Fri, 30 May 2025 00:56 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/bajaj-auto-q4-results-net-profit-rises-6-to-rs-2-049-crore-revenue-up-6-yoy-dividend-declared-11748523155991.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,https://www.livemint.com/lm-img/img/2025/05/29/90x90/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,"Bajaj Auto is a prominent player in India's automotive industry, holding a substantial 77.9% market share in the three-wheeler segment.",https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,https://www.livemint.com/lm-img/img/2025/05/29/600x338/BAJAJ-AUTO-RESULTS--0_1731391587330_1748523248559.JPG,[],[],[],
11748481148930,"Q4 results today: Ola Electric, Mazagon Dock, Suzlon Energy, Bajaj Auto &amp; 552 others to declare earnings on May 29","Q4 results today: On May 29, 2025, 556 companies, including Alkem Laboratories, Bajaj Auto, and Ola Electric Mobility, are set to announce their Q4 financial results.",Riya R Alex,"Thu, 29 May 2025 08:13 AM IST IST",3,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-ola-electric-mazagon-dock-suzlon-energy-bajaj-auto-552-others-to-declare-earnings-on-may-29-11748481148930.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,"Q4 results today: Ola Electric, Suzlon Energy, Bajaj Auto to announce earnings on Thursday, May 29, 2025.                                ",https://www.livemint.com/lm-img/img/2025/05/29/600x338/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/Q4_results_earning_today_April_21_Tata_Indraprasta_1745202511548_1748486188100.jpg,[],[],[],
11748482014853,"Stocks to watch: IRCTC, Suzlon Energy, SAIL, Bajaj Auto, Coal India among shares in focus today",Here?s a quick look at stocks likely to be in focus in today's trade.,Vaamanaa Sethi,"Thu, 29 May 2025 07:25 AM IST IST",2,false,Markets,,https://www.livemint.com/market/stock-market-news/stocks-to-watch-irctc-suzlon-energy-sail-bajaj-auto-coal-india-among-shares-in-focus-today-11748482014853.html,https://www.livemint.com/lm-img/img/2025/05/29/90x90/stock_1748483242955_1748483243154.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/stock_1748483242955_1748483243154.jpg,https://www.livemint.com/lm-img/img/2025/05/29/90x90/stock_1748483242955_1748483243154.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/stock_1748483242955_1748483243154.jpg,"Stocks to watch: IRCTC, Suzlon Energy, SAIL, Bajaj Auto, Coal India among shares in focus today.",https://www.livemint.com/lm-img/img/2025/05/29/600x338/stock_1748483242955_1748483243154.jpg,https://www.livemint.com/lm-img/img/2025/05/29/600x338/stock_1748483242955_1748483243154.jpg,[],[],[],
11748222431199,"Q4 results today: GIC, Aurobindo Pharma, Sumitomo Chemical, Nazara Tech, Sundaram Finance &amp; Vadilal Industries on May 26","Q4 results on May 26: GIC, Vadilal Industries, Aurobindo Pharma, Sumitomo Chemical, Nazara Technologies, and Blue Dart are among 205 companies to release their earnings report today.",Jocelyn Fernandes,"Mon, 26 May 2025 07:13 AM IST IST",1,false,Markets,,https://www.livemint.com/market/stock-market-news/q4-results-today-may-26-gic-aurobindo-pharma-sumimoto-chemical-nazara-tech-sundaram-finance-bayer-cropscience-earnings-11748222431199.html,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/90x90/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,"Q4 results on May 26: GIC, Aurobindo Pharma, Sundaram Finance, Sumitomo Chemical, Bayer Cropscience, Nazara Technologies, Gillette, and Blue Dart are among 205 companies to release their earnings report today.                           ",https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,https://www.livemint.com/lm-img/img/2025/05/26/600x338/q4_result_earning_market_stock_May_26_GIC_Sumimoto_1748223053614_1748223053903.jpeg,[],[],[],
11747920068469,Bajaj sharpens international play as it takes full control of Austrian brand KTM via ?800 million debt deal,The fresh infusion of funds is largely intended to pay off KTM?s creditors and ensure the continuity of its business.,Ayaan Kartik,"Thu, 22 May 2025 22:09 PM IST IST",5,false,Companies,,https://www.livemint.com/companies/news/bajaj-auto-ktm-motorcycles-austria-pierer-mobility-debt-deal-automobiles-chakan-plant-11747920068469.html,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,https://www.livemint.com/lm-img/img/2025/05/22/90x90/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,"Jammu, India - December 15 : Bikers perfoms stunt first time Stunt show in Jammu, India ,on Sunday, December 15, 2013. Stunt riding and tricks by expert riders on the KTM Dukes.(Photo by Nitin Kanotra / Hindustan Times)",https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,https://www.livemint.com/lm-img/img/2025/05/22/600x338/2-0-273413073-ktm-0_1680512254181_1747926923211.jpg,[],[],[],
