Date,50 DMA
2024-06-06,1588.12
2024-06-07,1587.32
2024-06-10,1586.48
2024-06-11,1585.76
2024-06-12,1585.5
2024-06-13,1585.68
2024-06-14,1585.92
2024-06-18,1586.39
2024-06-19,1586.73
2024-06-20,1586.7
2024-06-21,1586.39
2024-06-24,1586.44
2024-06-25,1587.1
2024-06-26,1587.62
2024-06-27,1588.23
2024-06-28,1588.22
2024-07-01,1587.91
2024-07-02,1587.59
2024-07-03,1587.85
2024-07-04,1587.76
2024-07-05,1587.44
2024-07-08,1586.76
2024-07-09,1586.56
2024-07-10,1586.4
2024-07-11,1586.46
2024-07-12,1586.88
2024-07-15,1587.48
2024-07-16,1588.35
2024-07-18,1590.82
2024-07-19,1592.75
2024-07-22,1594.26
2024-07-23,1595.22
2024-07-24,1594.6
2024-07-25,1593.71
2024-07-26,1593.42
2024-07-29,1594.36
2024-07-30,1596.25
2024-07-31,1598.42
2024-08-01,1599.85
2024-08-02,1600.77
2024-08-05,1599.48
2024-08-06,1598.09
2024-08-07,1597.04
2024-08-08,1594.81
2024-08-09,1593.45
2024-08-12,1592.1
2024-08-13,1590.19
2024-08-14,1587.79
2024-08-16,1586.31
2024-08-19,1584.93
2024-08-20,1585.6
2024-08-21,1586.99
2024-08-22,1588.51
2024-08-23,1590.52
2024-08-26,1594.27
2024-08-27,1599.16
2024-08-28,1603.65
2024-08-29,1609.61
2024-08-30,1616.41
2024-09-02,1625.2
2024-09-03,1634.63
2024-09-04,1643.93
2024-09-05,1652.6
2024-09-06,1660.62
2024-09-09,1668.46
2024-09-10,1674.58
2024-09-11,1680.8
2024-09-12,1687.62
2024-09-13,1695.73
2024-09-16,1702.08
2024-09-17,1707.83
2024-09-18,1714.9
2024-09-19,1721.79
2024-09-20,1729.43
2024-09-23,1736.9
2024-09-24,1743.48
2024-09-25,1750.74
2024-09-26,1759.84
2024-09-27,1769.68
2024-09-30,1777.67
2024-10-01,1785.41
2024-10-03,1790.43
2024-10-04,1794.12
2024-10-07,1797.46
2024-10-08,1799.06
2024-10-09,1801.72
2024-10-10,1804.62
2024-10-11,1807.44
2024-10-14,1809.78
2024-10-15,1811.51
2024-10-16,1813.5
2024-10-17,1813.59
2024-10-18,1813.83
2024-10-21,1811.66
2024-10-22,1808.17
2024-10-23,1805.48
2024-10-24,1803.0
2024-10-25,1799.25
2024-10-28,1796.55
2024-10-29,1795.38
2024-10-30,1793.7
2024-10-31,1792.01
2024-11-01,1790.55
2024-11-04,1787.49
2024-11-05,1785.45
2024-11-06,1784.01
2024-11-07,1781.88
2024-11-08,1780.23
2024-11-11,1777.77
2024-11-12,1774.4
2024-11-13,1770.08
2024-11-14,1764.97
2024-11-18,1759.13
2024-11-19,1752.75
2024-11-21,1745.55
2024-11-22,1739.88
2024-11-25,1734.59
2024-11-26,1729.09
2024-11-27,1724.03
2024-11-28,1718.19
2024-11-29,1712.76
2024-12-02,1708.21
2024-12-03,1704.25
2024-12-04,1701.26
2024-12-05,1699.02
2024-12-06,1696.52
2024-12-09,1694.18
2024-12-10,1692.98
2024-12-11,1692.72
2024-12-12,1692.2
2024-12-13,1691.71
2024-12-16,1691.0
2024-12-17,1689.12
2024-12-18,1686.83
2024-12-19,1683.02
2024-12-20,1678.57
2024-12-23,1674.05
2024-12-24,1669.76
2024-12-26,1665.43
2024-12-27,1662.05
2024-12-30,1658.7
2024-12-31,1655.15
2025-01-01,1652.06
2025-01-02,1653.97
2025-01-03,1655.82
2025-01-06,1656.95
2025-01-07,1657.96
2025-01-08,1659.49
2025-01-09,1660.7
2025-01-10,1662.29
2025-01-13,1662.75
2025-01-14,1664.74
2025-01-15,1665.01
2025-01-16,1666.28
2025-01-17,1666.84
2025-01-20,1669.53
2025-01-21,1671.39
2025-01-22,1674.21
2025-01-23,1677.03
2025-01-24,1679.05
2025-01-27,1680.33
2025-01-28,1683.81
2025-01-29,1687.99
2025-01-30,1690.23
2025-01-31,1692.03
2025-02-01,1694.46
2025-02-03,1698.4
