displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,1327.36,,,2022,Annual
Cash Equivalents ,CashEquivalents,2759.80,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,1.49,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,4105.98,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1794.32,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2365.30,,,2022,Annual
Goodwill Net ,GoodwillNet,689.34,,,2022,Annual
Intangibles Net ,IntangiblesNet,608.16,,,2022,Annual
Long Term Investments ,LongTermInvestments,311110.81,,,2022,Annual
Insurance Receivables ,InsuranceReceivables,3004.81,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2091.37,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1267.04,,,2022,Annual
Other Assets Total ,OtherAssetsTotal,8493.48,,,2022,Annual
Total Assets ,TotalAssets,333718.96,,,2022,Annual
Accounts Payable ,AccountsPayable,3241.55,,,2022,Annual
Accrued Expenses ,AccruedExpenses,48.37,,,2022,Annual
Policy Liabilities ,PolicyLiabilities,767.39,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,41922.14,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,24606.55,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2160.29,,,2022,Annual
Long Term Debt ,LongTermDebt,93985.71,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,664.78,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,94650.49,,,2022,Annual
Total Debt ,TotalDebt,161179.18,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,305.75,,,2022,Annual
Minority Interest ,MinorityInterest,26073.12,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,99696.51,,,2022,Annual
Total Liabilities ,TotalLiabilities,293472.16,,,2022,Annual
Common Stock Total ,CommonStockTotal,79.57,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,9611.92,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),30696.55,,,2022,Annual
Treasury Stock- Common ,TreasuryStock-Common,-119.97,,,2022,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),-4.31,,,2022,Annual
Other Equity Total ,OtherEquityTotal,-16.96,,,2022,Annual
Total Equity ,TotalEquity,40246.80,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,333718.96,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,159.14,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,244.75,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
