displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,8301.66,,,2020,Annual
Depreciation/ Depletion ,Depreciation/Depletion,456.79,,,2020,Annual
Non- Cash Items ,Non-CashItems,840.58,,,2020,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-32968.06,,,2020,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,-23369.03,,,2020,Annual
Capital Expenditures ,CapitalExpenditures,-879.32,,,2020,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-9068.68,,,2020,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-9948,,,2020,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,7703.25,,,2020,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-559.15,,,2020,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,8568.12,,,2020,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,18767.13,,,2020,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,34479.35,,,2020,Annual
Net Changein Cash ,NetChangeinCash,1162.32,,,2020,Annual
Cash Taxes Paid ,CashTaxesPaid,2655.67,,,2020,Annual
period Length ,periodLength,12,,,2020,Annual
period Type ,periodType,Months,,,2020,Annual
