displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Total Premiums Earned ,TotalPremiumsEarned,52936.22,,,2024,Annual
Net Investment Income ,NetInvestmentIncome,539511.70,,,2024,Annual
Realized Unrealized Gains( Losses) ,RealizedUnrealizedGains(Losses),1299.00,,,2024,Annual
Other Revenue Total ,OtherRevenueTotal,655.12,,,2024,Annual
Total Revenue ,TotalRevenue,108841.51,,,2024,Annual
Losses Benefitsand Adjustments Total ,LossesBenefitsandAdjustmentsTotal,41648.89,,,2024,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,22613.77,,,2024,Annual
Depreciation/ Amortization ,Depreciation/Amortization,899.32,,,2024,Annual
Unusual Expense( Income) ,UnusualExpense(Income),4633.58,,,2024,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,803.90,,,2024,Annual
Total Operating Expense ,TotalOperatingExpense,70599.46,,,2024,Annual
Operating Income ,OperatingIncome,38242.05,,,2024,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-16830.21,,,2024,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-12.41,,,2024,Annual
Other Net ,OtherNet,-24.40,,,2024,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,21375.03,,,2024,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,5779.67,,,2024,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,15595.36,,,2024,Annual
Minority Interest ,MinorityInterest,-7447.57,,,2024,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,8147.79,,,2024,Annual
Net Income ,NetIncome,8147.79,,,2024,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,8147.79,,,2024,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,8147.79,,,2024,Annual
Diluted Net Income ,DilutedNetIncome,8147.79,,,2024,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,160.83,,,2024,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,50.66,,,2024,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,1.00,,,2024,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,71.74,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
