displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,35.90
Gross Margin - 5 year average,grossMargin5YearAverage,
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),35.90
Operating Margin - 5 year average,operatingMargin5YearAverage,34.46
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,13.12
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,13.12
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,13.39
Pretax Margin - 5 year average,pretaxMargin5YearAverage,18.23
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-48.96
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,17.75
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,17.75
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,-45.91
Gross Margin - trailing 12 month,grossMarginTrailing12Month,
