displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,13.83
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,2.95
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,2.95
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,3.04
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,13.37
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.22
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.22
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),13.37
Return on investment - 5 year average,returnOnInvestment5YearAverage,
