tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003015,Bajaj Finance,,2025-05-09,,2025-06-10,POM
S0003015,Bajaj Finance,,2025-02-21,,2025-03-25,POM
S0003015,Bajaj Finance,,2024-11-22,,2024-12-24,POM
S0003015,Bajaj Finance,,2024-04-25,,2024-07-23,AGM
S0003015,Bajaj Finance,,2024-02-19,,2024-03-21,POM
S0003015,Bajaj Finance,,2023-10-13,,2023-10-31,EGM
S0003015,Bajaj Finance,,2023-04-26,,2023-07-26,AGM
S0003015,Bajaj Finance,,2023-05-17,,2023-06-19,POM
S0003015,Bajaj Finance,,2022-04-26,,2022-07-27,AGM
S0003015,Bajaj Finance,,2022-01-31,,2022-03-04,POM
S0003015,Bajaj Finance,,2021-04-27,,2021-07-20,AGM
