tickerId,companyName,remarks,boardMeetDate,purpose
S0003015,Bajaj Finance,,2025-04-29,"Audited Results, Dividend, Bonus & Split"
S0003015,Bajaj Finance,,2025-01-29,Quarterly Results
S0003015,Bajaj Finance,,2024-10-22,Quarterly Results
S0003015,Bajaj Finance,,2024-07-23,Quarterly Results
S0003015,Bajaj Finance,,2024-04-25,Audited Results & Final Dividend
S0003015,Bajaj Finance,,2024-01-29,Quarterly Results & Others
S0003015,Bajaj Finance,,2023-11-01,Issue of Warrants
S0003015,Bajaj Finance,,2023-10-17,Quarterly Results
S0003015,Bajaj Finance,,2023-07-26,Quarterly Results
S0003015,Bajaj Finance,,2023-04-26,Audited Results & Final Dividend
S0003015,Bajaj Finance,,2023-01-27,Quarterly Results
S0003015,Bajaj Finance,,2022-10-20,Quarterly Results
S0003015,Bajaj Finance,,2022-07-27,Quarterly Results
S0003015,Bajaj Finance,,2022-04-26,Audited Results & Dividend
S0003015,Bajaj Finance,"Inter alia, the Board will also consider the raising of funds by debt issue/issue of non-convertible debentures as a part of the proposed increase in the overall borrowing limit.",2022-01-18,Quarterly Results & Others
S0003015,Bajaj Finance,,2021-10-26,Quarterly Results
S0003015,Bajaj Finance,,2021-07-20,Quarterly Results
S0003015,Bajaj Finance,,2021-04-27,Audited Results & Final Dividend
S0003015,Bajaj Finance,,2021-01-20,Quarterly Results
