displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,2162.23,,,2021,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2162.23,,,2021,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,1096.86,,,2021,Annual
Total Receivables Net ,TotalReceivablesNet,1411.16,,,2021,Annual
Prepaid Expenses ,PrepaidExpenses,187.44,,,2021,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,1759.69,,,2021,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-718,,,2021,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,1048.76,,,2021,Annual
Goodwill Net ,GoodwillNet,3.27,,,2021,Annual
Intangibles Net ,IntangiblesNet,314.73,,,2021,Annual
Long Term Investments ,LongTermInvestments,18396.91,,,2021,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,146848.23,,,2021,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,947.99,,,2021,Annual
Other Assets Total ,OtherAssetsTotal,149.68,,,2021,Annual
Total Assets ,TotalAssets,171470.40,,,2021,Annual
Accounts Payable ,AccountsPayable,884.28,,,2021,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,9081.34,,,2021,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,26340.65,,,2021,Annual
Long Term Debt ,LongTermDebt,96748.77,,,2021,Annual
Capital Lease Obligations ,CapitalLeaseObligations,945.12,,,2021,Annual
Total Long Term Debt ,TotalLongTermDebt,97693.89,,,2021,Annual
Total Debt ,TotalDebt,106775.23,,,2021,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,551.83,,,2021,Annual
Total Liabilities ,TotalLiabilities,134551.99,,,2021,Annual
Common Stock Total ,CommonStockTotal,120.32,,,2021,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,16978.45,,,2021,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),19939.47,,,2021,Annual
Other Equity Total ,OtherEquityTotal,-119.83,,,2021,Annual
Total Equity ,TotalEquity,36918.41,,,2021,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,171470.40,,,2021,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,60.16,,,2021,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,608.42,,,2021,Annual
period Length ,periodLength,0.00,,,2021,Annual
