displayName,key,value
Operating margin - trailing 12 month,operatingMarginTrailing12Month,31.06
Gross Margin - 5 year average,grossMargin5YearAverage,62.11
Operating margin - 1st historical fiscal year,operatingMargin1stHistoricalFiscalYear),31.07
Operating Margin - 5 year average,operatingMargin5YearAverage,31.88
Net Profit Margin % - 1st historical fiscal year,netProfitMarginPercent1stHistoricalFiscalYear,24.27
Gross Margin - 1st historical fiscal year,grossMargin1stHistoricalFiscalYear,60.42
Net Profit Margin % - trailing 12 month,netProfitMarginPercentTrailing12Month,24.27
Net Profit Margin - 5 year average,netProfitMargin5YearAverage,24.31
Pretax Margin - 5 year average,pretaxMargin5YearAverage,32.49
"Free Operating Cash Flow/Revenue, TTM",freeOperatingCashFlowPerRevenueTTM,-103.35
Pretax margin - 1st historical fiscal year,pretaxMargin1stHistoricalFiscalYear,31.93
Pretax margin - trailing 12 month,pretaxMarginTrailing12Month,31.93
"Free Operating Cash Flow/Revenue, 5 Year Average",freeOperatingCashFlowPerRevenue5YearAverage,-103.54
Gross Margin - trailing 12 month,grossMarginTrailing12Month,60.42
