displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,19.57
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,4.98
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,3.99
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,37.96
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,4.78
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,3.99
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,4.01
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,19.19
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,37.92
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,0.16
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,0.16
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),19.19
Return on investment - 5 year average,returnOnInvestment5YearAverage,5.09
