displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,33.31
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,0.49
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,5.74
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,32.74
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,33.30
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,26.43
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,5.80
Dividend Yield - 5 Year Average,dividendYield5YearAverage,0.41
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,8.02
"Net Debt, LFI",netDebtLFI,2763020.00
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,5.80
Price to Book - most recent quarter,priceToBookMostRecentQuarter,5.74
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,0.49
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,31.41
Peg Ratio,pegRatio,1.03
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,24.42
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,93.32
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,33.30
Price to sales - trailing 12 month,priceToSalesTrailing12Month,8.02
"Net Debt, LFY",netDebtLFY,2763020.00
