Date,Price on NSE
2024-06-06,6925.8
2024-06-07,7191.4
2024-06-10,7088.85
2024-06-11,7138.1
2024-06-12,7217.75
2024-06-13,7294.95
2024-06-14,7341.55
2024-06-18,7334.7
2024-06-19,7233.95
2024-06-20,7207.1
2024-06-21,7134.25
2024-06-24,7081.85
2024-06-25,7074.45
2024-06-26,7158.2
2024-06-27,7166.75
2024-06-28,7115.55
2024-07-01,7276.75
2024-07-02,7165.6
2024-07-03,7258.8
2024-07-04,7107.05
2024-07-05,7138.0
2024-07-08,7098.25
2024-07-09,7068.05
2024-07-10,7054.95
2024-07-11,6950.3
2024-07-12,7004.3
2024-07-15,7063.75
2024-07-16,7059.1
2024-07-18,7110.0
2024-07-19,6932.3
2024-07-22,6884.25
2024-07-23,6727.1
2024-07-24,6607.15
2024-07-25,6647.75
2024-07-26,6789.75
2024-07-29,6812.45
2024-07-30,6823.6
2024-07-31,6806.95
2024-08-01,6771.65
2024-08-02,6725.0
2024-08-05,6596.7
2024-08-06,6538.35
2024-08-07,6637.15
2024-08-08,6582.2
2024-08-09,6618.2
2024-08-12,6608.15
2024-08-13,6465.05
2024-08-14,6458.5
2024-08-16,6590.9
2024-08-19,6616.35
2024-08-20,6722.2
2024-08-21,6735.35
2024-08-22,6743.6
2024-08-23,6735.85
2024-08-26,6778.35
2024-08-27,6863.6
2024-08-28,6900.0
2024-08-29,7063.55
2024-08-30,7200.15
2024-09-02,7440.05
2024-09-03,7353.8
2024-09-04,7299.5
2024-09-05,7244.9
2024-09-06,7317.15
2024-09-09,7347.45
2024-09-10,7241.85
2024-09-11,7345.55
2024-09-12,7428.3
2024-09-13,7598.5
2024-09-16,7345.75
2024-09-17,7365.5
2024-09-18,7631.1
2024-09-19,7590.35
2024-09-20,7582.45
2024-09-23,7595.1
2024-09-24,7554.2
2024-09-25,7623.9
2024-09-26,7768.4
2024-09-27,7756.0
2024-09-30,7703.0
2024-10-01,7703.0
2024-10-03,7433.85
2024-10-04,7211.35
2024-10-07,7269.4
2024-10-08,7186.95
2024-10-09,7300.45
2024-10-10,7319.7
2024-10-11,7302.0
2024-10-14,7208.8
2024-10-15,7016.9
2024-10-16,6956.35
2024-10-17,6899.5
2024-10-18,6899.55
2024-10-21,6780.9
2024-10-22,6677.9
2024-10-23,6995.8
2024-10-24,7040.9
2024-10-25,6910.15
2024-10-28,6911.35
2024-10-29,7022.5
2024-10-30,6955.0
2024-10-31,6889.75
2024-11-01,6923.6
2024-11-04,6843.7
2024-11-05,6930.35
2024-11-06,7006.2
2024-11-07,6904.5
2024-11-08,6895.95
2024-11-11,6778.8
2024-11-12,6638.2
2024-11-13,6566.0
2024-11-14,6549.15
2024-11-18,6567.95
2024-11-19,6595.3
2024-11-21,6465.65
2024-11-22,6683.95
2024-11-25,6685.4
2024-11-26,6617.95
2024-11-27,6705.2
2024-11-28,6509.4
2024-11-29,6575.9
2024-12-02,6650.65
2024-12-03,6675.45
2024-12-04,6740.0
2024-12-05,6850.4
2024-12-06,6850.3
2024-12-09,6868.35
2024-12-10,6936.2
2024-12-11,7115.1
2024-12-12,7125.8
2024-12-13,7182.8
2024-12-16,7208.4
2024-12-17,7152.8
2024-12-18,7074.45
2024-12-19,6918.55
2024-12-20,6848.25
2024-12-23,6866.7
2024-12-24,6808.2
2024-12-26,6815.75
2024-12-27,6907.75
2024-12-30,6888.25
2024-12-31,6823.0
2025-01-01,6935.3
2025-01-02,7389.2
2025-01-03,7407.25
2025-01-06,7349.35
2025-01-07,7353.95
2025-01-08,7355.4
2025-01-09,7277.45
2025-01-10,7288.05
2025-01-13,7150.95
2025-01-14,7335.0
2025-01-15,7177.4
2025-01-16,7259.75
2025-01-17,7182.1
2025-01-20,7440.1
2025-01-21,7291.65
2025-01-22,7397.15
2025-01-23,7443.25
2025-01-24,7438.6
2025-01-27,7295.45
2025-01-28,7606.6
2025-01-29,7759.65
2025-01-30,7901.65
2025-01-31,7885.1
2025-02-01,8000.1
2025-02-03,8425.8
2025-02-04,8475.35
2025-02-05,8509.45
2025-02-06,8507.3
2025-02-07,8474.25
2025-02-10,8286.8
2025-02-11,8191.2
2025-02-12,8214.05
2025-02-13,8409.0
2025-02-14,8392.3
2025-02-17,8426.6
2025-02-18,8465.9
