displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,2962.80,,,2023,Annual
Cash Equivalents ,CashEquivalents,4216.60,,,2023,Annual
Short Term Investments ,ShortTermInvestments,5664.00,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,12843.40,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,9682.90,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,18341.30,,,2023,Annual
Total Inventory ,TotalInventory,608.00,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,1175.80,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,24532.80,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,57501.30,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,300160.90,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-150290.20,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,160900.00,,,2023,Annual
Goodwill Net ,GoodwillNet,33774.10,,,2023,Annual
Intangibles Net ,IntangiblesNet,132145.10,,,2023,Annual
Long Term Investments ,LongTermInvestments,28249.40,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,9613.90,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,24449.40,,,2023,Annual
Total Assets ,TotalAssets,446633.20,,,2023,Annual
Accounts Payable ,AccountsPayable,32894.60,,,2023,Annual
Accrued Expenses ,AccruedExpenses,1402.50,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,5341.40,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,18280.80,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,64044.50,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,121963.80,,,2023,Annual
Long Term Debt ,LongTermDebt,151568.60,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,50829.50,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,202398.10,,,2023,Annual
Total Debt ,TotalDebt,226020.30,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,2076.20,,,2023,Annual
Minority Interest ,MinorityInterest,28881.40,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,13750.80,,,2023,Annual
Total Liabilities ,TotalLiabilities,369070.30,,,2023,Annual
Common Stock Total ,CommonStockTotal,2836.60,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,64051.10,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),23907.10,,,2023,Annual
Treasury Stock- Common ,TreasuryStock-Common,-173.30,,,2023,Annual
Other Equity Total ,OtherEquityTotal,-13058.60,,,2023,Annual
Total Equity ,TotalEquity,77562.90,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,446633.20,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,557.22,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,-158.57,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
