displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,12258.50,,,2025,Interim
Short Term Investments ,ShortTermInvestments,25380.20,,,2025,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,37638.70,,,2025,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,5076.80,,,2025,Interim
Total Receivables Net ,TotalReceivablesNet,5076.80,,,2025,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,12170.30,,,2025,Interim
Total Current Assets ,TotalCurrentAssets,54885.80,,,2025,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,175987.80,,,2025,Interim
Intangibles Net ,IntangiblesNet,147019.00,,,2025,Interim
Long Term Investments ,LongTermInvestments,36118.00,,,2025,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,31080.10,,,2025,Interim
Total Assets ,TotalAssets,445090.70,,,2025,Interim
Accounts Payable ,AccountsPayable,38208.50,,,2025,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2025,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,36151.50,,,2025,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,69565.10,,,2025,Interim
Total Current Liabilities ,TotalCurrentLiabilities,143925.10,,,2025,Interim
Long Term Debt ,LongTermDebt,172722.80,,,2025,Interim
Total Long Term Debt ,TotalLongTermDebt,172722.80,,,2025,Interim
Total Debt ,TotalDebt,208874.30,,,2025,Interim
Deferred Income Tax ,DeferredIncomeTax,2762.50,,,2025,Interim
Minority Interest ,MinorityInterest,23726.80,,,2025,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,13646.80,,,2025,Interim
Total Liabilities ,TotalLiabilities,356784.00,,,2025,Interim
Other Equity Total ,OtherEquityTotal,88306.70,,,2025,Interim
Total Equity ,TotalEquity,88306.70,,,2025,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,445090.70,,,2025,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,568.76,,,2025,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,-103.23,,,2025,Interim
period Length ,periodLength,0.00,,,2025,Interim
