displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,-3118.40,,,2021,Annual
Depreciation/ Depletion ,Depreciation/Depletion,29709.20,,,2021,Annual
Non- Cash Items ,Non-CashItems,20803.80,,,2021,Annual
Changesin Working Capital ,ChangesinWorkingCapital,810.40,,,2021,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,48205.00,,,2021,Annual
Capital Expenditures ,CapitalExpenditures,-33581.60,,,2021,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,6693.20,,,2021,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-26888.40,,,2021,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-3548.40,,,2021,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-2690.60,,,2021,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-434.50,,,2021,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-18236.80,,,2021,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-24910.30,,,2021,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,-397.20,,,2021,Annual
Net Changein Cash ,NetChangeinCash,-3990.90,,,2021,Annual
Cash Interest Paid ,CashInterestPaid,7129.40,,,2021,Annual
Cash Taxes Paid ,CashTaxesPaid,2232.80,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
