displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,116546.90,,,2022,Annual
Total Revenue ,TotalRevenue,116546.90,,,2022,Annual
Costof Revenue Total ,CostofRevenueTotal,40185.40,,,2022,Annual
Gross Profit ,GrossProfit,76361.50,,,2022,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,18827.60,,,2022,Annual
Depreciation/ Amortization ,Depreciation/Amortization,33090.70,,,2022,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-869,,,2022,Annual
Total Operating Expense ,TotalOperatingExpense,91234.70,,,2022,Annual
Operating Income ,OperatingIncome,25312.20,,,2022,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-11410.30,,,2022,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,911.90,,,2022,Annual
Other Net ,OtherNet,-2330.70,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,12483.10,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4177.90,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,8305.20,,,2022,Annual
Minority Interest ,MinorityInterest,-4050.30,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4254.90,,,2022,Annual
Total Extraordinary Items ,TotalExtraordinaryItems,0.00,,,2022,Annual
Net Income ,NetIncome,4254.90,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4254.90,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4254.90,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,4254.90,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,557.95,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,7.63,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,3.00,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,5.50,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
