displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,139144.80,,,2023,Annual
Total Revenue ,TotalRevenue,139144.80,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,45679.60,,,2023,Annual
Gross Profit ,GrossProfit,93465.20,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,22191.70,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,36431.80,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),669.80,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,104972.90,,,2023,Annual
Operating Income ,OperatingIncome,34171.90,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-15436.80,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,73.60,,,2023,Annual
Other Net ,OtherNet,-2248,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,16560.70,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4273.30,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,12287.40,,,2023,Annual
Minority Interest ,MinorityInterest,-3941.50,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,8345.90,,,2023,Annual
Net Income ,NetIncome,8345.90,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,8345.90,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,8345.90,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,8345.90,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,572.85,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,14.57,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.00,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,15.34,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
