displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,338.23
"Revenue growth rate, 5 year",revenueGrowthRate5Year,15.36
"EPS growth rate, 5 year",ePSGrowthRate5Year,
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,27.33
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,74.72
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,94.42
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),12.02
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,22.15
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,22.35
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,15.34
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,14.07
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,7.52
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),423.49
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,22.15
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,7.58
