Date,Volume,Delivery (%)
2024-06-06,10680064,50.0
2024-06-07,12990120,60.0
2024-06-10,5525396,68.0
2024-06-11,4482105,66.0
2024-06-12,5064245,67.0
2024-06-13,8083001,69.0
2024-06-14,4137680,63.0
2024-06-18,8767041,77.0
2024-06-19,8742739,78.0
2024-06-20,9180930,58.0
2024-06-21,44571532,65.0
2024-06-24,6557857,67.0
2024-06-25,6564541,68.0
2024-06-26,10124814,55.0
2024-06-27,20055258,
2024-06-28,30710223,46.0
2024-07-01,6490434,49.0
2024-07-02,8294637,55.0
2024-07-03,8817746,72.0
2024-07-04,10080095,63.0
2024-07-05,5425927,51.0
2024-07-08,3424029,72.0
2024-07-09,3050905,68.0
2024-07-10,3472979,54.0
2024-07-11,4262184,56.0
2024-07-12,6812533,53.0
2024-07-15,3372732,69.0
2024-07-16,7074122,54.0
2024-07-18,6575938,59.0
2024-07-19,4114418,51.0
2024-07-22,3619931,66.0
2024-07-23,3011194,55.0
2024-07-24,4568104,67.0
2024-07-25,4328998,62.0
2024-07-26,10077847,53.0
2024-07-29,4913444,61.0
2024-07-30,4383640,70.0
2024-07-31,5787650,65.0
2024-08-01,4637292,64.0
2024-08-02,3758312,47.0
2024-08-05,5195133,62.0
2024-08-06,8567111,51.0
2024-08-07,5908674,67.0
2024-08-08,6083907,58.0
2024-08-09,3869731,55.0
2024-08-12,4079470,59.0
2024-08-13,4605069,64.0
2024-08-14,5984717,64.0
2024-08-16,7444999,62.0
2024-08-19,4467849,71.0
2024-08-20,10152351,76.0
2024-08-21,6302688,69.0
2024-08-22,7868666,54.0
2024-08-23,6560506,56.0
2024-08-26,4362674,62.0
2024-08-27,4056572,66.0
2024-08-28,6305964,60.0
2024-08-29,8116612,56.0
2024-08-30,38212715,71.0
2024-09-02,4948074,61.0
2024-09-03,4600356,70.0
2024-09-04,5278662,68.0
2024-09-05,5721541,60.0
2024-09-06,5737569,52.0
2024-09-09,3966836,70.0
2024-09-10,6225819,69.0
2024-09-11,6100299,70.0
2024-09-12,12335757,60.0
2024-09-13,5788107,62.0
2024-09-16,3842280,67.0
2024-09-17,4385362,63.0
2024-09-18,3218660,61.0
2024-09-19,8645769,39.0
2024-09-20,22506329,55.0
2024-09-23,5104365,50.0
2024-09-24,7671749,69.0
2024-09-25,4052715,71.0
2024-09-26,8024322,65.0
2024-09-27,7277009,67.0
2024-09-30,7418422,77.0
2024-10-01,3781826,69.0
2024-10-03,7313261,76.0
2024-10-04,9216257,62.0
2024-10-07,6175033,59.0
2024-10-08,5317798,68.0
2024-10-09,3521230,55.0
2024-10-10,5162763,68.0
2024-10-11,2549085,46.0
2024-10-14,2161347,51.0
2024-10-15,5985653,61.0
2024-10-16,3382855,59.0
2024-10-17,4408129,69.0
2024-10-18,4469044,60.0
2024-10-21,3906301,59.0
2024-10-22,3141984,61.0
2024-10-23,2825090,61.0
2024-10-24,3717951,62.0
2024-10-25,3709784,46.0
2024-10-28,2853739,58.0
2024-10-29,7160179,42.0
2024-10-30,4725408,57.0
2024-10-31,5274555,58.0
2024-11-01,291136,33.0
2024-11-04,6312101,66.0
2024-11-05,6593327,70.0
2024-11-06,7929887,65.0
2024-11-07,5221275,53.0
2024-11-08,3201491,69.0
2024-11-11,3704991,72.0
2024-11-12,4531888,55.0
2024-11-13,5924015,72.0
2024-11-14,5289317,68.0
2024-11-18,4952224,68.0
2024-11-19,6323973,63.0
2024-11-21,7509452,64.0
2024-11-22,7858655,67.0
2024-11-25,12278976,65.0
2024-11-26,4178749,54.0
2024-11-27,5039564,67.0
2024-11-28,6839150,62.0
2024-11-29,11060675,51.0
2024-12-02,3871409,58.0
2024-12-03,9247549,80.0
2024-12-04,8879335,73.0
