displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,521.18,,,2024,Annual
Cash Equivalents ,CashEquivalents,1779.56,,,2024,Annual
Short Term Investments ,ShortTermInvestments,7965.67,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,10266.41,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,8372.89,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,12038.77,,,2024,Annual
Total Inventory ,TotalInventory,43035.53,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,353.40,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,65694.11,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,117031.10,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-32313.06,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,93397.76,,,2024,Annual
Goodwill Net ,GoodwillNet,1203.98,,,2024,Annual
Intangibles Net ,IntangiblesNet,12400.38,,,2024,Annual
Long Term Investments ,LongTermInvestments,22340.01,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,6597.08,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,784.43,,,2024,Annual
Total Assets ,TotalAssets,202417.75,,,2024,Annual
Accounts Payable ,AccountsPayable,28305.81,,,2024,Annual
Accrued Expenses ,AccruedExpenses,2630.49,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,7242.27,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,11879.49,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,30825.32,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,80883.38,,,2024,Annual
Long Term Debt ,LongTermDebt,26877.14,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,8600.15,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,35477.29,,,2024,Annual
Total Debt ,TotalDebt,54599.05,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,7975.68,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2446.29,,,2024,Annual
Total Liabilities ,TotalLiabilities,126782.64,,,2024,Annual
Common Stock Total ,CommonStockTotal,2136.29,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,6712.55,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),65241.87,,,2024,Annual
Other Equity Total ,OtherEquityTotal,1544.40,,,2024,Annual
Total Equity ,TotalEquity,75635.11,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,202417.75,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,433.85,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,142.98,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
