displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,132086.86,,,2024,Interim
Total Revenue ,TotalRevenue,132086.86,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,115075.22,,,2024,Interim
Gross Profit ,GrossProfit,17011.64,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,854.98,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,1721.89,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-535.93,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,6999.13,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,124115.29,,,2024,Interim
Operating Income ,OperatingIncome,7971.57,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-1809,,,2024,Interim
Other Net ,OtherNet,506.68,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,6669.25,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1879.68,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,4789.57,,,2024,Interim
Minority Interest ,MinorityInterest,0.00,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4789.57,,,2024,Interim
Net Income ,NetIncome,4789.57,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4789.57,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4789.57,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,4789.57,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,426.59,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,11.23,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,10.50,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,10.33,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
