displayName,key,value
Return on average equity - 5 year average,returnOnAverageEquity5YearAverage,23.90
Net Income/employee - trailing 12 month,netIncomePerEmployeeTrailing12Month,
Revenue/employee - most recent fiscal year,revenuePerEmployeeMostRecentFiscalYear,
Return on investment - most recent fiscal year,returnOnInvestmentMostRecentFiscalYear,10.70
Return on average assets - most recent fiscal year,returnOnAverageAssetsMostRecenFiscalYear,6.34
Receivables turnover - most recent fiscal year,receivablesTurnoverMostRecentFiscalYear,56.52
Return on investment - trailing 12 month,returnOnInvestmentTrailing12Month,10.70
Return on average assets - trailing 12 month,returnOnAverageAssetsTrailing12Month,6.34
Inventory turnover - most recent fiscal year,inventoryTurnoverMostRecentFiscalYear,10.09
Inventory turnover - trailing 12 month,inventoryTurnoverTrailing12Month),10.11
Revenue/employee - trailing 12 month,revenuePerEmployeeTrailing12Month,
Return on average assets - 5 year average,returnOnAverageAssets5YearAverage,7.72
Net Income/employee - most recent fiscal year,netIncomePerEmployeeMostRecentFiscalYear,
Return on average equity - trailing 12 month,returnOnAverageEquityTrailing12Month,16.99
Receivables turnover - trailing 12 month,receivablesTurnoverTrailing12Month,56.62
Asset turnover - most recent fiscal year,assetTurnoverMostRecentFiscalYear,2.38
Asset turnover - trailing 12 month,assetTurnoverTrailing12Month,2.38
Return on average equity - most recent fiscal year,returnOnAverageEquityMostRecentFiscalYear),16.99
Return on investment - 5 year average,returnOnInvestment5YearAverage,12.95
