displayName,key,value
Dividend Per Share - 5 year average,dividendperShare5YearAverage,
Cash Flow per share  - trailing 12 month,cashFlowPerShareTrailing12Month,48.21
Free Cash Flow per share - trailing 12 month,freeCashFlowpersharetrailing12month,
Cash Flow per share - most recent fiscal year,cashflowPerShareMostRecentFiscalYear,48.19
Book value (tangible) per share - most recent quarter,bookValueTangibleperSharemostRecentQuarter,152.59
Cash per share - most recent quarter,cashPerShareMostRecentQuarter,36.67
EPS including extraordinary items - trailing 12 month,ePSIncludingExtraOrdinaryItemsTrailing12Month,31.22
EPS including extraordinary items - most recent fiscal year,ePSIncludingExtraordinaryItemsMostRecentFiscalYear,31.21
EBITD per share - trailing 12 month,eBITDPerShareTrailing12Month,59.48
Revenue/share - trailing 12 month,rRevenuePerShareTrailing12onth,1171.72
EPS excluding extraordinary items - trailing 12 month,eEPSExcludingExtraordinaryIitemsTrailing12onth,31.22
EPS Basic excluding extraordinary items - most recent fiscal year,ePSBasicExcludingExtraordinaryItemsMostRecentFiscalYear,31.21
EPS Basic excluding extraordinary items - trailing 12 month,ePSBasicExcludingExtraordinaryItemsItrailing12Month,31.22
Book value per share - most recent fiscal year,bookValuePerShare MostRecentFiscalYear,187.59
Book value per share - most recent quarter,bookValuePerShareMostRecentQuarter,187.59
Dividend per share - most recent fiscal year,dividendPerShare MostRecentFiscalYear,
Revenue/share - most recent fiscal year,revenuePerShareMostRecentFiscalYear,1171.30
EPS Normalized - most recent fiscal year,ePSNormalizedMostRecentFiscalYear,31.86
Book value (tangible) per share - most recent fiscal year,bookValuePerShareMostRecentFiscalYear,152.59
Dividends per share - trailing 12 month,dividendsPerShareTrailing12Month,5.00
EPS excluding extraordinary items - most recent fiscal year,eEPSExcludingExtraordinaryItemsMmostRecentFiscal yea,31.21
Cash per share - most recent fiscal year,cashPerShareMostRecentFiscalYear,36.67
