displayName,key,value
Market Cap,marketCap,137377.63
52 week Low Date,52WeekLowDate,2025-03-03T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-0.56
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,6.70
Avg trading volume last 10 days,avgTradingVolumeLast10Days,5.71
Price - 13 week price percent change,price13WeekPricePercentChange,16.89
Price - 52 week price percent change,price52WeekPricePercentChange,6.63
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,211.98
Price - 5 Day % Change,price5DayPercentChange,-2.93
Price % Change Month To Date,pricePercentChangeMonthToDate,-2.70
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-0.77
52 week High Date,52WeekHighDate,2024-09-30T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,4.31
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,5.93
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-2.62
NPRICE,NPRICE,309.80
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,4.72
52 week Low,52WeekLow,234.01
52 week High,52WeekHigh,376.00
Beta,beta,1.23
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,1.64
