Date,200 DMA
2024-06-06,4884.84
2024-06-07,4890.6
2024-06-10,4896.55
2024-06-11,4902.73
2024-06-12,4908.07
2024-06-13,4912.76
2024-06-14,4917.54
2024-06-18,4922.3
2024-06-19,4926.66
2024-06-20,4931.16
2024-06-21,4935.13
2024-06-24,4938.74
2024-06-25,4942.85
2024-06-26,4947.62
2024-06-27,4952.42
2024-06-28,4957.63
2024-07-01,4962.79
2024-07-02,4967.15
2024-07-03,4971.95
2024-07-04,4976.47
2024-07-05,4982.15
2024-07-08,4987.98
2024-07-09,4994.76
2024-07-10,5002.33
2024-07-11,5009.88
2024-07-12,5017.61
2024-07-15,5025.49
2024-07-16,5033.82
2024-07-18,5042.15
2024-07-19,5050.47
2024-07-22,5058.8
2024-07-23,5067.62
2024-07-24,5075.2
2024-07-25,5082.71
2024-07-26,5090.57
2024-07-29,5098.6
2024-07-30,5106.0
2024-07-31,5112.75
2024-08-01,5118.89
2024-08-02,5124.87
2024-08-05,5130.58
2024-08-06,5137.78
2024-08-07,5144.74
2024-08-08,5150.7
2024-08-09,5156.57
2024-08-12,5161.44
2024-08-13,5166.46
2024-08-14,5171.37
2024-08-16,5176.92
2024-08-19,5182.45
2024-08-20,5188.25
2024-08-21,5194.71
2024-08-22,5201.1
2024-08-23,5206.99
2024-08-26,5212.86
2024-08-27,5218.35
2024-08-28,5223.17
2024-08-29,5229.22
2024-08-30,5235.45
2024-09-02,5242.28
2024-09-03,5248.99
2024-09-04,5255.73
2024-09-05,5261.64
2024-09-06,5267.43
2024-09-09,5274.12
2024-09-10,5281.04
2024-09-11,5288.28
2024-09-12,5296.45
2024-09-13,5304.78
2024-09-16,5312.32
2024-09-17,5320.27
2024-09-18,5328.26
2024-09-19,5336.28
2024-09-20,5344.98
2024-09-23,5353.6
2024-09-24,5362.05
2024-09-25,5370.2
2024-09-26,5378.99
2024-09-27,5387.84
2024-09-30,5397.3
2024-10-01,5407.74
2024-10-03,5416.93
2024-10-04,5424.78
2024-10-07,5431.7
2024-10-08,5439.39
2024-10-09,5445.94
2024-10-10,5451.47
2024-10-11,5456.71
2024-10-14,5461.9
2024-10-15,5467.94
2024-10-16,5474.13
2024-10-17,5479.25
2024-10-18,5483.31
2024-10-21,5486.24
2024-10-22,5488.64
2024-10-23,5491.23
2024-10-24,5492.43
2024-10-25,5494.19
2024-10-28,5496.46
2024-10-29,5498.17
2024-10-30,5500.99
2024-10-31,5503.24
2024-11-01,5505.13
2024-11-04,5506.33
2024-11-05,5507.31
2024-11-06,5509.18
2024-11-07,5510.96
2024-11-08,5513.31
2024-11-11,5512.53
2024-11-12,5507.71
2024-11-13,5503.12
2024-11-14,5497.27
2024-11-18,5491.44
2024-11-19,5485.48
2024-11-21,5478.7
2024-11-22,5472.42
2024-11-25,5466.77
2024-11-26,5462.26
2024-11-27,5457.5
2024-11-28,5452.19
2024-11-29,5447.1
2024-12-02,5441.73
2024-12-03,5436.44
2024-12-04,5430.62
2024-12-05,5425.06
2024-12-06,5419.54
2024-12-09,5413.31
2024-12-10,5407.08
2024-12-11,5401.93
2024-12-12,5396.22
2024-12-13,5390.79
2024-12-16,5385.37
2024-12-17,5379.32
2024-12-18,5373.38
2024-12-19,5367.53
2024-12-20,5360.87
2024-12-23,5354.34
2024-12-24,5348.27
2024-12-26,5342.43
2024-12-27,5336.73
2024-12-30,5331.38
2024-12-31,5325.72
2025-01-01,5320.44
2025-01-02,5315.14
2025-01-03,5310.35
2025-01-06,5305.19
2025-01-07,5300.48
2025-01-08,5296.1
2025-01-09,5292.42
2025-01-10,5288.9
2025-01-13,5285.3
2025-01-14,5281.1
2025-01-15,5277.08
2025-01-16,5272.77
2025-01-17,5268.61
2025-01-20,5264.8
2025-01-21,5261.2
2025-01-22,5258.17
2025-01-23,5255.73
2025-01-24,5254.2
2025-01-27,5253.42
2025-01-28,5251.5
2025-01-29,5249.37
2025-01-30,5247.64
2025-01-31,5246.46
2025-02-01,5246.02
2025-02-03,5244.62
2025-02-04,5242.47
2025-02-05,5239.38
2025-02-06,5236.56
2025-02-07,5232.92
2025-02-10,5229.71
2025-02-11,5226.46
2025-02-12,5223.4
2025-02-13,5220.07
2025-02-14,5217.28
2025-02-17,5214.75
2025-02-18,5211.54
2025-02-19,5207.81
2025-02-20,5204.08
2025-02-21,5200.37
2025-02-24,5196.43
2025-02-25,5192.47
2025-02-27,5188.39
2025-02-28,5182.49
2025-03-03,5176.66
