displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,2916.66,,,2024,Annual
Depreciation/ Depletion ,Depreciation/Depletion,300.46,,,2024,Annual
Non- Cash Items ,Non-CashItems,-40.37,,,2024,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-603.77,,,2024,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,2572.98,,,2024,Annual
Capital Expenditures ,CapitalExpenditures,-561.52,,,2024,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,1037.02,,,2024,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,475.50,,,2024,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-164.47,,,2024,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1732.47,,,2024,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-933.54,,,2024,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-2830.48,,,2024,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,1.29,,,2024,Annual
Net Changein Cash ,NetChangeinCash,219.29,,,2024,Annual
Cash Interest Paid ,CashInterestPaid,164.90,,,2024,Annual
Cash Taxes Paid ,CashTaxesPaid,764.87,,,2024,Annual
period Length ,periodLength,12,,,2024,Annual
period Type ,periodType,Months,,,2024,Annual
