displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,2916.66,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,300.46,,,2024,Interim
Non- Cash Items ,Non-CashItems,-40.37,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-603.77,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,2572.98,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-561.52,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,1037.02,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,475.50,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-164.47,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1732.47,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-933.54,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-2830.48,,,2024,Interim
Foreign Exchange Effects ,ForeignExchangeEffects,1.29,,,2024,Interim
Net Changein Cash ,NetChangeinCash,219.29,,,2024,Interim
Cash Interest Paid ,CashInterestPaid,164.90,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,764.87,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
