displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,4069.36,,,2024,Interim
Total Revenue ,TotalRevenue,4069.36,,,2024,Interim
Costof Revenue Total ,CostofRevenueTotal,2242.51,,,2024,Interim
Gross Profit ,GrossProfit,1826.85,,,2024,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,162.03,,,2024,Interim
Depreciation/ Amortization ,Depreciation/Amortization,79.93,,,2024,Interim
Unusual Expense( Income) ,UnusualExpense(Income),0.00,,,2024,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,877.37,,,2024,Interim
Total Operating Expense ,TotalOperatingExpense,3361.84,,,2024,Interim
Operating Income ,OperatingIncome,707.52,,,2024,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-30.24,,,2024,Interim
Other Net ,OtherNet,57.34,,,2024,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,734.62,,,2024,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,198.01,,,2024,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,536.61,,,2024,Interim
Minority Interest ,MinorityInterest,1.67,,,2024,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,538.28,,,2024,Interim
Net Income ,NetIncome,538.28,,,2024,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,538.28,,,2024,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,538.28,,,2024,Interim
Diluted Net Income ,DilutedNetIncome,538.28,,,2024,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,24.12,,,2024,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,22.32,,,2024,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,73.50,,,2024,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,22.32,,,2024,Interim
period Length ,periodLength,3,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
