displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,1.82
"Revenue growth rate, 5 year",revenueGrowthRate5Year,9.12
"EPS growth rate, 5 year",ePSGrowthRate5Year,9.17
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,8.92
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,9.90
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,12.63
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),9.08
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-15.98
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,-0.19
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,11.58
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,8.95
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,7.00
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,8.27
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,-0.25
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),4.18
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,0.20
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,11.58
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-4.31
