Date,Price on NSE
2024-06-06,5440.45
2024-06-07,5463.55
2024-06-10,5488.4
2024-06-11,5517.75
2024-06-12,5439.3
2024-06-13,5379.45
2024-06-14,5393.65
2024-06-18,5395.85
2024-06-19,5360.65
2024-06-20,5378.45
2024-06-21,5330.3
2024-06-24,5297.75
2024-06-25,5352.05
2024-06-26,5421.7
2024-06-27,5430.3
2024-06-28,5475.55
2024-07-01,5476.5
2024-07-02,5401.65
2024-07-03,5449.1
2024-07-04,5426.25
2024-07-05,5546.8
2024-07-08,5568.55
2024-07-09,5668.85
2024-07-10,5755.55
2024-07-11,5761.3
2024-07-12,5787.05
2024-07-15,5809.7
2024-07-16,5862.35
2024-07-18,5871.5
2024-07-19,5877.95
2024-07-22,5887.85
2024-07-23,5944.75
2024-07-24,5829.5
2024-07-25,5829.6
2024-07-26,5872.8
2024-07-29,5897.6
2024-07-30,5842.2
2024-07-31,5784.45
2024-08-01,5730.15
2024-08-02,5720.35
2024-08-05,5697.9
2024-08-06,5854.5
2024-08-07,5836.8
2024-08-08,5744.65
2024-08-09,5740.3
2024-08-12,5645.75
2024-08-13,5666.5
2024-08-14,5659.15
2024-08-16,5729.65
2024-08-19,5732.5
2024-08-20,5765.8
2024-08-21,5837.35
2024-08-22,5836.8
2024-08-23,5792.65
2024-08-26,5796.95
2024-08-27,5764.3
2024-08-28,5703.35
2024-08-29,5831.4
2024-08-30,5855.25
2024-09-02,5922.15
2024-09-03,5916.05
2024-09-04,5926.55
2024-09-05,5850.0
2024-09-06,5843.55
2024-09-09,5939.45
2024-09-10,5969.9
2024-09-11,6008.65
2024-09-12,6109.25
2024-09-13,6133.1
2024-09-16,6063.0
2024-09-17,6111.05
2024-09-18,6123.25
2024-09-19,6134.5
2024-09-20,6210.55
2024-09-23,6211.2
2024-09-24,6203.15
2024-09-25,6180.3
2024-09-26,6254.1
2024-09-27,6268.8
2024-09-30,6338.15
2024-10-01,6446.05
2024-10-03,6331.75
2024-10-04,6206.0
2024-10-07,6120.3
2024-10-08,6204.4
2024-10-09,6097.25
2024-10-10,6002.15
2024-10-11,5978.5
2024-10-14,5978.05
2024-10-15,6068.7
2024-10-16,6090.1
2024-10-17,5988.5
2024-10-18,5887.2
2024-10-21,5778.3
2024-10-22,5727.0
2024-10-23,5748.85
2024-10-24,5612.4
2024-10-25,5669.4
2024-10-28,5722.3
2024-10-29,5667.5
2024-10-30,5782.5
2024-10-31,5726.9
2024-11-01,5693.05
2024-11-04,5625.2
2024-11-05,5605.1
2024-11-06,5694.9
2024-11-07,5688.9
2024-11-08,5747.15
2024-11-11,5434.65
2024-11-12,5027.55
2024-11-13,5046.5
2024-11-14,4915.6
2024-11-18,4911.35
2024-11-19,4892.7
2024-11-21,4803.35
2024-11-22,4848.35
2024-11-25,4903.95
2024-11-26,5013.6
2024-11-27,4984.15
2024-11-28,4923.65
2024-11-29,4941.15
2024-12-02,4907.25
2024-12-03,4909.6
2024-12-04,4851.55
2024-12-05,4872.0
2024-12-06,4870.85
2024-12-09,4793.0
2024-12-10,4787.25
2024-12-11,4889.5
2024-12-12,4828.35
2024-12-13,4850.1
2024-12-16,4846.5
2024-12-17,4776.75
2024-12-18,4782.65
2024-12-19,4785.75
2024-12-20,4698.1
2024-12-23,4704.35
2024-12-24,4744.1
2024-12-26,4761.65
2024-12-27,4769.3
2024-12-30,4799.45
2024-12-31,4762.75
2025-01-01,4794.75
2025-01-02,4787.8
2025-01-03,4834.1
2025-01-06,4791.25
2025-01-07,4832.25
2025-01-08,4859.9
2025-01-09,4926.3
2025-01-10,4939.2
2025-01-13,4927.05
2025-01-14,4862.4
2025-01-15,4877.0
2025-01-16,4844.55
2025-01-17,4854.4
2025-01-20,4885.4
2025-01-21,4903.85
2025-01-22,4956.7
2025-01-23,5012.6
2025-01-24,5101.55
2025-01-27,5176.25
2025-01-28,5060.75
2025-01-29,5037.05
2025-01-30,5075.35
2025-01-31,5129.65
2025-02-01,5201.35
2025-02-03,5105.55
2025-02-04,5028.35
2025-02-05,4932.65
2025-02-06,4956.05
2025-02-07,4870.5
2025-02-10,4909.65
2025-02-11,4904.05
2025-02-12,4918.3
2025-02-13,4888.7
2025-02-14,4939.65
2025-02-17,4963.7
2025-02-18,4891.2
2025-02-19,4837.5
2025-02-20,4832.4
2025-02-21,4831.9
2025-02-24,4804.3
2025-02-25,4798.05
2025-02-27,4782.8
2025-02-28,4595.45
2025-03-03,4596.6
2025-03-04,4575.2
2025-03-05,4722.15
2025-03-06,4702.55
2025-03-07,4748.25
2025-03-10,4737.7
2025-03-11,4762.05
2025-03-12,4792.05
2025-03-13,4728.25
2025-03-17,4674.9
2025-03-18,4768.3
2025-03-19,4707.1
2025-03-20,4831.1
2025-03-21,4814.0
2025-03-24,4796.85
2025-03-25,4845.2
2025-03-26,4849.7
2025-03-27,4841.2
2025-03-28,4936.9
2025-04-01,4900.8
2025-04-02,5037.4
2025-04-03,5073.45
2025-04-04,5023.4
2025-04-07,5055.85
2025-04-08,5179.35
2025-04-09,5339.45
2025-04-11,5350.2
2025-04-15,5391.3
2025-04-16,5416.2
2025-04-17,5454.6
2025-04-21,5393.2
2025-04-22,5435.5
2025-04-23,5544.3
2025-04-24,5461.9
2025-04-25,5420.5
2025-04-28,5428.8
2025-04-29,5468.3
2025-04-30,5438.9
2025-05-02,5307.5
2025-05-05,5359.0
2025-05-06,5393.5
2025-05-07,5351.0
2025-05-08,5391.0
2025-05-09,5436.0
2025-05-12,5608.5
2025-05-13,5485.0
2025-05-14,5484.0
2025-05-15,5465.0
2025-05-16,5501.5
2025-05-19,5519.5
2025-05-20,5428.0
2025-05-21,5493.5
2025-05-22,5437.5
2025-05-23,5486.5
2025-05-26,5525.0
2025-05-27,5496.5
2025-05-28,5473.0
2025-05-29,5495.5
2025-05-30,5510.5
2025-06-02,5605.0
2025-06-03,5575.5
2025-06-04,5542.0
2025-06-05,5600.0
2025-06-06,5607.5
