Date,200 DMA
2024-06-06,1326.65
2024-06-07,1328.35
2024-06-10,1330.4
2024-06-11,1332.39
2024-06-12,1334.46
2024-06-13,1336.55
2024-06-14,1338.82
2024-06-18,1341.17
2024-06-19,1343.34
2024-06-20,1345.35
2024-06-21,1347.3
2024-06-24,1348.87
2024-06-25,1350.37
2024-06-26,1351.65
2024-06-27,1352.93
2024-06-28,1354.21
2024-07-01,1355.45
2024-07-02,1356.77
2024-07-03,1358.04
2024-07-04,1359.26
2024-07-05,1360.76
2024-07-08,1362.01
2024-07-09,1363.51
2024-07-10,1365.0
2024-07-11,1366.4
2024-07-12,1367.85
2024-07-15,1369.33
2024-07-16,1370.74
2024-07-18,1372.09
2024-07-19,1373.22
2024-07-22,1374.38
2024-07-23,1375.61
2024-07-24,1376.88
2024-07-25,1378.11
2024-07-26,1380.07
2024-07-29,1381.8
2024-07-30,1383.26
2024-07-31,1384.86
2024-08-01,1386.47
2024-08-02,1387.89
2024-08-05,1389.15
2024-08-06,1390.57
2024-08-07,1392.19
2024-08-08,1393.96
2024-08-09,1395.76
2024-08-12,1397.66
2024-08-13,1399.5
2024-08-14,1401.14
2024-08-16,1402.88
2024-08-19,1404.6
2024-08-20,1406.17
2024-08-21,1408.05
2024-08-22,1409.82
2024-08-23,1411.45
2024-08-26,1413.27
2024-08-27,1415.11
2024-08-28,1417.13
2024-08-29,1419.13
2024-08-30,1421.48
2024-09-02,1423.72
2024-09-03,1426.0
2024-09-04,1428.25
2024-09-05,1430.24
2024-09-06,1432.04
2024-09-09,1433.91
2024-09-10,1435.88
2024-09-11,1437.79
2024-09-12,1439.98
2024-09-13,1442.16
2024-09-16,1444.33
2024-09-17,1446.59
2024-09-18,1448.63
2024-09-19,1450.51
2024-09-20,1452.38
2024-09-23,1454.43
2024-09-24,1456.25
2024-09-25,1458.11
2024-09-26,1459.74
2024-09-27,1461.86
2024-09-30,1463.77
2024-10-01,1465.77
2024-10-03,1467.67
2024-10-04,1469.22
2024-10-07,1470.76
2024-10-08,1472.46
2024-10-09,1474.53
2024-10-10,1475.96
2024-10-11,1477.15
2024-10-14,1478.36
2024-10-15,1479.29
2024-10-16,1480.12
2024-10-17,1480.9
2024-10-18,1481.6
2024-10-21,1482.02
2024-10-22,1482.3
2024-10-23,1482.34
2024-10-24,1482.43
2024-10-25,1482.5
2024-10-28,1482.7
2024-10-29,1482.65
2024-10-30,1482.01
2024-10-31,1482.71
2024-11-01,1483.47
2024-11-04,1484.48
2024-11-05,1485.64
2024-11-06,1486.72
2024-11-07,1487.61
2024-11-08,1488.65
2024-11-11,1489.29
2024-11-12,1489.65
2024-11-13,1489.81
2024-11-14,1489.9
2024-11-18,1489.66
2024-11-19,1489.48
2024-11-21,1489.24
2024-11-22,1489.21
2024-11-25,1489.35
2024-11-26,1489.39
2024-11-27,1489.4
2024-11-28,1489.44
2024-11-29,1489.88
2024-12-02,1490.06
2024-12-03,1490.49
2024-12-04,1490.6
2024-12-05,1490.67
2024-12-06,1490.54
2024-12-09,1490.33
2024-12-10,1489.98
2024-12-11,1489.62
2024-12-12,1489.18
2024-12-13,1488.76
2024-12-16,1488.36
2024-12-17,1487.99
2024-12-18,1487.83
2024-12-19,1488.02
2024-12-20,1487.86
2024-12-23,1487.74
2024-12-24,1487.62
